idtimemania;tmmconc;tmmdata;tmmlocal;tmmpremioest;tmmpr07;tmmpr06;tmmpr05;tmmpr04;tmmpr03;tmmprtime;tmmgan07;tmmgan06;tmmgan05;tmmgan04;tmmgan03;tmmgantime;tmmd01;tmmd02;tmmd03;tmmd04;tmmd05;tmmd06;tmmd07;tmmdtime;tmmcidadesgan
782;782;2015-09-26;SÃO PAULO, SP;12.300.000,00;0,00;39.952,30;746,07;6;2;5;0;4;306;6.110;55.514;13.043;10;13;22;35;39;56;60;NÁUTICO/PE;
783;783;2015-09-29;SÃO PAULO, SP;12.500.000,00;0,00;92.129,66;892,29;6;2;5;0;2;295;5.737;53.083;9.030;32;34;37;46;56;60;63;UNIÃO SÃO JOÃO/SP;
784;784;2015-10-01;SÃO PAULO, SP;13.400.000,00;0,00;21.834,53;767,80;6;2;5;0;8;325;6.494;63.636;43.417;3;8;10;22;36;41;61;INTERNACIONAL/RS;
785;785;2015-10-03;SÃO PAULO, SP;14.000.000,00;0,00;20.941,89;836,18;6;2;5;0;9;322;6.486;63.733;23.053;5;6;18;27;51;52;79;AVAÍ/SC;
786;786;2015-10-06;SÃO PAULO, SP;14.500.000,00;0,00;22.836,17;848,57;6;2;5;0;9;346;7.022;68.906;47.262;19;20;23;31;58;74;79;CRUZEIRO/MG;
787;787;2015-10-08;SÃO PAULO, SP;15.000.000,00;0,00;24.109,76;705,78;6;2;5;0;10;488;8.731;79.876;17.200;14;24;26;29;38;53;80;CRICIÚMA/SC;
788;788;2015-10-10;SÃO PAULO, SP;15.500.000,00;0,00;20.471,11;761,57;6;2;5;0;10;384;7.028;69.363;63.455;1;7;14;31;40;50;51;PALMEIRAS/SP;
789;789;2015-10-13;SÃO PAULO, SP;16.400.000,00;0,00;24.754,63;717,52;6;2;5;0;7;345;6.379;60.507;17.256;12;13;21;37;45;53;76;TREZE/PB;
790;790;2015-10-15;SÃO PAULO, SP;17.000.000,00;0,00;11.211,57;501,29;6;2;5;0;20;639;10.016;82.411;15.179;2;4;8;12;27;31;50;TUNA LUSO/PA;
791;791;2015-10-17;SÃO PAULO, SP;17.500.000,00;0,00;12.958,22;559,65;6;2;5;0;13;430;8.195;76.114;93.593;3;10;36;44;58;59;64;CORINTHIANS/SP;
792;792;2015-10-20;SÃO PAULO, SP;18.000.000,00;0,00;53.084,74;729,18;6;2;5;0;4;416;7.675;71.622;21.133;2;9;14;33;37;67;78;ATLÉTICO/GO;
793;793;2015-10-22;SÃO PAULO, SP;18.500.000,00;0,00;25.662,71;859,24;6;2;5;0;9;384;7.499;72.570;14.404;12;25;27;36;62;69;80;OLARIA/RJ;
794;794;2015-10-24;SÃO PAULO, SP;20.000.000,00;0,00;24.976,63;1.007,93;6;2;5;0;10;354;7.199;72.789;19.957;7;25;31;42;65;71;76;SAMPAIO CORRÊA/MA;
795;795;2015-10-27;SÃO PAULO, SP;20.500.000,00;0,00;25.374,80;620,71;6;2;5;0;10;584;10.441;87.674;17.304;13;16;17;22;31;52;56;CRB/AL;
796;796;2015-10-29;SÃO PAULO, SP;21.000.000,00;0,00;26.194,42;919,42;6;2;5;0;10;407;8.261;81.111;19.851;6;23;25;53;61;64;75;VILA NOVA/GO;
797;797;2015-10-31;SÃO PAULO, SP;21.700.000,00;0,00;58.258,76;953,88;6;2;5;0;4;349;6.884;70.450;60.386;6;34;58;61;63;69;71;BOTAFOGO/RJ;
798;798;2015-11-03;SÃO PAULO, SP;22.300.000,00;0,00;28.641,63;899,26;6;2;5;0;8;364;7.444;72.780;17.826;3;9;17;69;72;78;79;MOTO CLUBE/MA;
799;799;2015-11-05;SÃO PAULO, SP;23.800.000,00;0,00;18.935,80;1.185,80;6;2;5;0;16;365;7.936;82.302;16.939;1;24;60;63;65;76;77;XV PIRACICABA/SP;
800;800;2015-11-07;SÃO PAULO, SP;24.500.000,00;0,00;25.765,62;559,23;6;2;5;0;11;724;11.455;96.517;19.748;6;18;24;27;45;51;64;MOTO CLUBE/MA;
801;801;2015-11-10;SÃO PAULO, SP;100.000,00;24.609.072,86;28.927,27;1.129,08;6;2;5;1;10;366;8.244;82.270;19.521;7;39;58;61;62;76;77;RIO BRANCO/ES;
802;802;2015-11-13;SÃO PAULO, SP;400.000,00;0,00;85.126,70;617,30;6;2;5;0;1;197;3.261;28.684;4.668;7;14;20;28;32;34;47;RORAIMA/RR;
803;803;2015-11-14;SÃO PAULO, SP;600.000,00;0,00;17.805,39;721,59;6;2;5;0;4;141;2.984;27.268;6.138;3;13;18;25;52;62;77;GAMA/DF;
804;804;2015-11-17;SÃO PAULO, SP;1.200.000,00;0,00;70.228,24;627,03;6;2;5;0;1;160;2.619;24.413;9.215;1;6;11;14;22;38;49;ATLÉTICO/PR;
805;805;2015-11-19;SÃO PAULO, SP;1.300.000,00;0,00;19.275,04;764,88;6;2;5;0;4;144;2.557;25.386;11.908;13;21;31;39;51;57;62;VITÓRIA/BA;
806;806;2015-11-21;SÃO PAULO, SP;1.500.000,00;0,00;10.385,46;865,45;6;2;5;0;7;120;2.260;21.281;6.607;17;20;56;59;67;74;79;JOINVILLE/SC;
807;807;2015-11-24;SÃO PAULO, SP;1.700.000,00;0,00;15.801,37;823,84;6;2;5;0;5;137;2.723;26.116;5.868;12;19;20;21;30;60;67;MARÍLIA/SP;
808;808;2015-11-26;SÃO PAULO, SP;2.000.000,00;0,00;28.762,42;659,18;6;2;5;0;3;187;2.979;27.795;9.448;9;12;37;45;65;68;73;CORITIBA/PR;
809;809;2015-11-28;SÃO PAULO, SP;2.500.000,00;0,00;91.377,13;1.176,02;6;2;5;0;1;111;2.643;27.562;6.449;7;8;17;20;37;61;69;SÃO CAETANO/SP;
810;810;2015-12-01;SÃO PAULO, SP;100.000,00;2.424.861,77;23.937,65;882,49;6;2;5;1;4;155;3.229;30.157;5.342;8;28;47;66;71;74;80;OLARIA/RJ;
811;811;2015-12-03;SÃO PAULO, SP;400.000,00;0,00;0,00;593,17;6;2;5;0;0;150;2.743;26.061;25.862;3;18;23;27;59;62;80;SANTOS/SP;
812;812;2015-12-05;SÃO PAULO, SP;600.000,00;0,00;25.047,94;1.095,39;6;2;5;0;3;98;2.242;21.677;5.938;18;43;44;47;50;58;65;IPATINGA/MG;
813;813;2015-12-08;SÃO PAULO, SP;800.000,00;0,00;61.155,47;766,35;6;2;5;0;1;114;2.295;21.218;14.260;2;24;36;52;54;74;79;FLUMINENSE/RJ;
814;814;2015-12-10;SÃO PAULO, SP;1.200.000,00;0,00;82.689,66;1.073,89;6;2;5;0;1;110;2.325;23.412;4.687;8;28;49;51;58;75;76;RIO BRANCO/AC;
815;815;2015-12-12;SÃO PAULO, SP;1.300.000,00;0,00;6.473,16;337,80;6;2;5;0;8;219;3.642;30.755;39.031;1;3;8;13;26;35;57;FLAMENGO/RJ;
816;816;2015-12-15;SÃO PAULO, SP;1.350.000,00;0,00;72.807,26;1.029,80;6;2;5;0;1;101;2.162;21.709;10.975;37;38;44;49;58;68;79;VITÓRIA/BA;
817;817;2015-12-17;SÃO PAULO, SP;1.700.000,00;0,00;29.969,73;1.019,37;6;2;5;0;3;126;2.818;26.831;6.628;2;25;56;62;63;67;69;SAMPAIO CORRÊA/MA;
818;818;2015-12-19;SÃO PAULO, SP;1.800.000,00;0,00;80.712,83;1.077,60;6;2;5;0;1;107;2.204;22.522;9.064;2;15;23;26;40;61;67;SPORT/PE;
819;819;2015-12-22;SÃO PAULO, SP;2.300.000,00;0,00;0,00;1.133,24;6;2;5;0;0;101;2.270;22.482;5.475;20;34;48;60;65;72;80;JI-PARANÁ / RO;
820;820;2015-12-24;SÃO PAULO, SP;2.500.000,00;0,00;37.655,19;1.065,21;6;2;5;0;2;101;2.159;21.843;3.466;19;32;57;62;67;73;78;UNIÃO SÃO JOÃO/SP;
821;821;2015-12-26;SÃO PAULO, SP;2.700.000,00;0,00;0,00;880,80;6;2;5;0;0;90;1.659;16.781;8.500;4;17;46;67;68;70;72;VITÓRIA/BA;
822;822;2015-12-29;SÃO PAULO, SP;2.900.000,00;0,00;10.489,03;627,61;6;2;5;0;8;191;2.998;28.839;5.646;11;12;13;31;32;63;80;JI-PARANÁ / RO;
823;823;2015-12-31;SÃO PAULO, SP;3.200.000,00;0,00;44.385,92;782,82;6;2;5;0;2;162;2.778;26.673;7.368;6;20;31;47;58;64;79;ATLÉTICO/PR;
824;824;2016-01-05;SÃO PAULO, SP;3.500.000,00;0,00;19.526,02;451,36;6;2;5;0;5;309;3.349;31.410;7.156;22;23;25;28;29;31;53;SANTO ANDRE/SP;
825;825;2016-01-07;SÃO PAULO, SP;100.000,00;3.695.224,57;11.051,58;734,32;6;2;5;1;10;215;3.997;37.659;6.446;6;10;20;33;36;63;67;RIO BRANCO/AC;
826;826;2016-01-09;SÃO PAULO, SP;300.000,00;0,00;30.790,22;586,48;6;2;5;0;2;150;2.721;23.665;4.298;6;10;11;12;37;52;54;JUVENTUS/SP;
827;827;2016-01-12;SÃO PAULO, SP;400.000,00;0,00;33.696,07;837,16;6;2;5;0;2;115;1.952;19.791;2.849;2;14;21;37;55;57;61;VILLA NOVA/MG;
828;828;2016-01-14;SÃO PAULO, SP;600.000,00;0,00;34.982,51;1.189,88;6;2;5;0;2;84;1.956;20.179;4.785;24;25;28;37;53;70;78;FIGUEIRENSE/SC;
829;829;2016-01-16;SÃO PAULO, SP;1.000.000,00;0,00;13.714,99;859,33;6;2;5;0;5;114;2.126;20.617;4.725;1;19;41;47;56;65;72;PALMAS/TO;
830;830;2016-01-19;SÃO PAULO, SP;1.200.000,00;0,00;23.026,64;822,38;6;2;5;0;3;120;2.218;22.805;6.543;1;19;25;29;43;63;76;NÁUTICO/PE;
831;831;2016-01-21;SÃO PAULO, SP;1.400.000,00;0,00;71.687,88;906,29;6;2;5;0;1;113;2.492;25.193;25.453;3;11;25;38;39;50;71;SÃO PAULO/SP;
832;832;2016-01-23;SÃO PAULO, SP;1.500.000,00;0,00;40.495,33;903,91;6;2;5;0;2;128;2.206;22.909;3.474;19;29;30;37;39;49;77;UNIÃO SÃO JOÃO/SP;
833;833;2016-01-26;SÃO PAULO, SP;1.800.000,00;0,00;76.237,89;981,18;6;2;5;0;1;111;2.225;22.014;5.949;14;18;28;54;55;61;72;P.  DESPORTOS/SP;
834;834;2016-01-28;SÃO PAULO, SP;2.200.000,00;0,00;30.334,25;866,69;6;2;5;0;3;150;3.230;31.500;9.346;7;10;18;23;29;68;79;LONDRINA/PR;
835;835;2016-01-30;SÃO PAULO, SP;2.500.000,00;0,00;16.815,89;736,89;6;2;5;0;5;163;2.964;28.238;8.806;10;14;23;25;41;67;74;CORITIBA/PR;
836;836;2016-02-02;SÃO PAULO, SP;2.700.000,00;0,00;28.321,82;866,99;6;2;5;0;3;140;2.868;27.726;4.954;4;13;28;50;54;57;64;SÃO RAIMUNDO/AM;
837;837;2016-02-04;SÃO PAULO, SP;3.000.000,00;0,00;31.418,66;885,86;6;2;5;0;3;152;3.018;28.386;9.220;4;34;35;46;52;66;73;CORITIBA/PR;
838;838;2016-02-06;SÃO PAULO, SP;3.100.000,00;0,00;31.729,39;629,55;6;2;5;0;3;216;3.751;30.191;8.024;15;32;34;35;37;46;64;RIVER/PI;
839;839;2016-02-11;SÃO PAULO, SP;3.500.000,00;0,00;55.277,86;1.039,05;6;2;5;0;2;152;3.095;32.050;6.393;21;22;23;31;36;65;67;SÃO RAIMUNDO/AM;
840;840;2016-02-13;SÃO PAULO, SP;3.900.000,00;0,00;103.928,83;1.052,97;6;2;5;0;1;141;2.808;27.954;7.727;1;23;38;50;58;70;77;SAMPAIO CORRÊA/MA;
841;841;2016-02-16;SÃO PAULO, SP;4.200.000,00;0,00;0,00;788,37;6;2;5;0;0;175;3.417;31.835;8.055;12;19;43;49;57;60;72;MIXTO/MT;
842;842;2016-02-18;SÃO PAULO, SP;4.500.000,00;0,00;35.314,17;710,54;6;2;5;0;3;213;4.342;38.942;25.744;3;11;13;35;50;71;74;INTERNACIONAL/RS;
843;843;2016-02-20;SÃO PAULO, SP;4.700.000,00;0,00;45.693,37;777,09;6;2;5;0;2;168;3.573;35.235;23.643;3;4;6;36;39;52;80;BOTAFOGO/RJ;
844;844;2016-02-23;SÃO PAULO, SP;350.000,00;4.763.359,61;48.054,61;1.248,17;6;2;5;1;2;110;2.659;27.410;19.617;18;21;41;52;60;66;77;FLUMINENSE/RJ;
845;845;2016-02-25;SÃO PAULO, SP;500.000,00;0,00;17.417,16;930,15;6;2;5;0;4;107;2.096;20.727;6.505;14;22;26;42;49;69;78;LONDRINA/PR;
846;846;2016-02-27;SÃO PAULO, SP;700.000,00;0,00;12.942,14;700,33;6;2;5;0;5;132;2.536;22.917;5.861;11;12;13;21;32;53;74;JOINVILLE/SC;
847;847;2016-03-01;SÃO PAULO, SP;900.000,00;0,00;68.216,54;964,87;6;2;5;0;1;101;2.253;20.346;4.891;27;33;46;70;77;78;79;JI-PARANÁ / RO;
848;848;2016-03-03;SÃO PAULO, SP;1.200.000,00;0,00;83.983,23;967,54;6;2;5;0;1;124;2.688;25.813;4.850;15;27;28;34;54;69;71;UBERLÂNDIA/MG;
849;849;2016-03-05;SÃO PAULO, SP;1.500.000,00;0,00;78.277,59;816,24;6;2;5;0;1;137;2.656;25.369;5.198;1;27;29;33;34;49;65;BRASILIENSE/DF;
850;850;2016-03-08;SÃO PAULO, SP;1.800.000,00;0,00;10.957,73;944,63;6;2;5;0;7;116;2.382;21.959;5.725;25;38;44;60;63;65;68;VILA NOVA/GO;
851;851;2016-03-10;SÃO PAULO, SP;2.000.000,00;0,00;46.127,02;844,81;6;2;5;0;2;156;2.997;28.414;5.823;8;9;12;46;60;63;68;BRASILIENSE/DF;
852;852;2016-03-12;SÃO PAULO, SP;2.200.000,00;0,00;22.168,39;543,67;6;2;5;0;4;233;3.561;31.506;4.974;5;12;25;29;43;51;77;RIO BRANCO/AC;
853;853;2016-03-15;SÃO PAULO, SP;2.400.000,00;0,00;86.580,56;981,63;6;2;5;0;1;126;2.705;28.414;13.473;8;14;18;34;45;51;79;VITÓRIA/BA;
854;854;2016-03-17;SÃO PAULO, SP;3.000.000,00;0,00;32.851,65;926,26;6;2;5;0;3;152;3.282;29.093;7.792;2;24;61;63;66;69;75;MOTO CLUBE/MA;
855;855;2016-03-19;SÃO PAULO, SP;3.100.000,00;0,00;46.073,52;883,48;6;2;5;0;2;149;3.095;29.338;8.516;1;7;33;43;56;73;78;BOTAFOGO/PB;
856;856;2016-03-22;SÃO PAULO, SP;100.000,00;3.122.440,67;29.630,65;933,73;6;2;5;1;3;136;2.740;27.520;7.607;10;24;29;30;55;67;68;IPATINGA/MG;
857;857;2016-03-24;SÃO PAULO, SP;250.000,00;0,00;12.304,62;593,85;6;2;5;0;5;148;2.486;21.274;4.610;9;12;21;27;50;57;58;JUVENTUS/SP;
858;858;2016-03-26;SÃO PAULO, SP;350.000,00;0,00;38.429,02;914,97;6;2;5;0;1;60;1.252;12.021;6.353;15;32;36;44;64;73;79;VITÓRIA/BA;
859;859;2016-03-29;SÃO PAULO, SP;700.000,00;0,00;29.809,99;617,18;6;2;5;0;2;138;2.507;21.231;3.555;13;25;27;53;70;77;79;RIO BRANCO/ES;
860;860;2016-03-31;SÃO PAULO, SP;900.000,00;0,00;11.106,15;652,02;6;2;5;0;6;146;2.540;23.633;13.721;1;5;23;27;52;59;61;FLUMINENSE/RJ;
861;861;2016-04-02;SÃO PAULO, SP;1.000.000,00;0,00;34.820,59;736,94;6;2;5;0;2;135;2.488;23.199;5.308;17;25;33;38;40;73;77;RIVER/PI;
862;862;2016-04-05;SÃO PAULO, SP;1.300.000,00;0,00;11.646,73;522,66;6;2;5;0;6;191;3.198;27.372;4.238;3;10;17;25;38;43;58;NACIONAL/AM;
863;863;2016-04-07;SÃO PAULO, SP;1.500.000,00;0,00;15.290,41;851,04;6;2;5;0;6;154;3.024;29.252;9.062;25;28;34;54;61;66;79;TREZE/PB;
864;864;2016-04-09;SÃO PAULO, SP;2.000.000,00;0,00;12.688,55;971,06;6;2;5;0;6;112;2.167;23.027;11.946;2;5;30;35;40;55;61;GOIÁS/GO;
865;865;2016-04-12;SÃO PAULO, SP;2.100.000,00;0,00;28.166,99;921,49;6;2;5;0;3;131;2.852;29.245;6.501;13;14;24;29;54;63;65;BOTAFOGO/PB;
866;866;2016-04-14;SÃO PAULO, SP;2.400.000,00;0,00;88.852,08;869,39;6;2;5;0;1;146;3.229;29.932;8.534;11;12;14;20;23;48;61;REMO/PA;
867;867;2016-04-16;SÃO PAULO, SP;2.500.000,00;0,00;7.309,01;555,39;6;2;5;0;10;188;3.039;27.073;16.516;3;5;17;32;46;59;75;FLUMINENSE/RJ;
868;868;2016-04-19;SÃO PAULO, SP;2.800.000,00;0,00;80.939,15;947,76;6;2;5;0;1;122;2.794;26.537;7.343;1;2;5;26;34;65;74;TREZE/PB;
869;869;2016-04-23;SÃO PAULO, SP;3.200.000,00;0,00;12.488,71;502,56;6;2;5;0;6;213;3.701;33.620;41.469;5;7;14;28;30;47;74;CORINTHIANS/SP;
870;870;2016-04-26;SÃO PAULO, SP;3.300.000,00;0,00;0,00;836,04;6;2;5;0;0;142;2.560;24.956;6.288;3;8;21;34;41;55;67;PONTE PRETA/SP;
871;871;2016-04-28;SÃO PAULO, SP;3.600.000,00;0,00;12.836,98;698,61;6;2;5;0;8;210;4.060;35.341;6.517;8;13;28;31;36;75;80;CRB/AL;
872;872;2016-04-30;SÃO PAULO, SP;3.900.000,00;0,00;16.413,08;1.065,78;6;2;5;0;6;132;2.759;28.608;7.978;1;28;36;38;41;53;77;REMO/PA;
873;873;2016-05-03;SÃO PAULO, SP;4.200.000,00;0,00;19.201,03;593,72;6;2;5;0;5;231;3.891;35.470;6.287;2;3;8;14;21;44;58;TUNA LUSO/PA;
874;874;2016-05-05;SÃO PAULO, SP;4.600.000,00;0,00;103.589,41;993,18;6;2;5;0;1;149;2.845;27.731;4.481;16;24;32;41;43;59;60;PAULISTA/SP;
875;875;2016-05-07;SÃO PAULO, SP;5.000.000,00;0,00;32.583,16;716,11;6;2;5;0;3;195;3.469;34.257;30.999;10;11;21;34;38;66;78;VASCO DA GAMA/RJ;
876;876;2016-05-10;SÃO PAULO, SP;5.200.000,00;0,00;23.861,91;891,20;6;2;5;0;4;153;3.010;30.544;14.753;3;36;37;56;59;69;72;GOIÁS/GO;
877;877;2016-05-12;SÃO PAULO, SP;5.400.000,00;0,00;34.947,79;991,89;6;2;5;0;3;151;3.084;31.454;8.373;12;44;54;59;69;72;79;MIXTO/MT;
878;878;2016-05-14;SÃO PAULO, SP;5.700.000,00;0,00;35.408,73;751,24;6;2;5;0;3;202;3.897;37.542;14.256;16;19;44;52;59;69;80;ABC/RN;
879;879;2016-05-17;SÃO PAULO, SP;6.300.000,00;0,00;27.163,61;636,15;6;2;5;0;4;244;4.011;37.461;6.576;13;25;29;41;45;47;51;CSA/AL;
880;880;2016-05-19;SÃO PAULO, SP;6.500.000,00;0,00;114.628,59;1.231,24;6;2;5;0;1;133;2.975;30.793;10.035;6;31;50;51;58;68;80;JOINVILLE/SC;
881;881;2016-05-21;SÃO PAULO, SP;6.700.000,00;0,00;82.813,99;863,54;6;2;5;0;1;137;2.979;30.815;53.730;15;20;31;36;61;65;72;FLAMENGO/RJ;
882;882;1905-07-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;8;17;26;42;58;72;80;UNIÃO BARBARENSE/SP;
883;883;2016-05-28;SÃO PAULO, SP;7.300.000,00;0,00;46.831,87;1.338,05;6;2;5;0;3;150;3.276;35.039;8.514;26;32;51;52;60;68;69;RIO BRANCO/ES;
884;884;2016-05-31;SÃO PAULO, SP;8.000.000,00;0,00;21.785,73;860,52;6;2;5;0;6;217;4.077;35.565;6.245;28;32;35;71;72;73;74;UNIÃO SÃO JOÃO/SP;
885;885;2016-06-02;SÃO PAULO, SP;8.300.000,00;0,00;28.508,60;1.033,66;6;2;5;0;5;197;3.900;37.840;7.052;40;46;58;64;68;73;75;VILLA NOVA/MG;
886;886;2016-06-04;SÃO PAULO, SP;8.700.000,00;0,00;45.209,04;931,50;6;2;5;0;3;208;4.021;39.463;15.938;2;20;42;56;59;65;70;AVAÍ/SC;
887;887;2016-06-07;SÃO PAULO, SP;9.000.000,00;0,00;22.617,53;538,51;6;2;5;0;6;360;5.402;46.100;9.567;1;3;11;14;16;30;39;SERGIPE/SE;
888;888;2016-06-09;SÃO PAULO, SP;9.300.000,00;0,00;35.871,84;630,71;6;2;5;0;4;325;5.442;47.624;12.314;14;17;43;45;47;52;67;AMÉRICA/RJ;
889;889;2016-06-11;SÃO PAULO, SP;10.000.000,00;0,00;16.682,71;1.046,30;6;2;5;0;9;205;4.046;41.565;14.895;14;15;16;40;51;77;78;LONDRINA/PR;
890;890;2016-06-14;SÃO PAULO, SP;10.600.000,00;0,00;22.538,94;1.058,16;6;2;5;0;7;213;4.078;42.064;12.980;26;30;46;47;60;71;77;AMÉRICA/RN;
891;891;1905-07-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;12;32;33;68;70;73;76;UNIÃO BARBARENSE/SP;
892;892;2016-06-18;SÃO PAULO, SP;11.300.000,00;0,00;23.233,78;587,45;6;2;5;0;6;339;6.085;53.665;29.201;4;7;9;14;22;38;60;FORTALEZA/CE;
893;893;2016-06-21;SÃO PAULO, SP;11.700.000,00;0,00;16.607,64;875,46;6;2;5;0;10;271;4.972;50.917;14.814;2;42;43;45;51;75;77;IPATINGA/MG;
894;894;2016-06-23;SÃO PAULO, SP;12.500.000,00;0,00;28.842,55;662,43;6;2;5;0;5;311;5.908;57.021;36.408;3;10;20;23;24;73;79;BOTAFOGO/RJ;
895;895;2016-06-25;SÃO PAULO, SP;13.000.000,00;0,00;29.173,94;1.000,24;6;2;5;0;6;250;5.362;52.731;9.410;5;23;44;51;62;64;79;XV PIRACICABA/SP;
896;896;2016-06-28;SÃO PAULO, SP;200.000,00;13.115.002,46;52.592,92;807,87;6;2;5;1;4;372;6.882;66.952;15.017;10;33;35;57;62;69;79;YPIRANGA/AP;
897;897;2016-06-30;SÃO PAULO, SP;350.000,00;0,00;8.734,93;693,24;6;2;5;0;8;144;2.510;21.289;4.082;21;29;34;37;55;59;67;RIO BRANCO/ES;
898;898;2016-07-02;SÃO PAULO, SP;500.000,00;0,00;32.266,74;635,79;6;2;5;0;2;145;2.499;23.558;13.643;13;21;22;31;33;49;79;CRUZEIRO/MG;
899;899;2016-07-05;SÃO PAULO, SP;1.000.000,00;0,00;13.773,79;833,76;6;2;5;0;5;118;2.560;24.316;6.555;2;3;15;28;55;63;67;GUARANI/SP;
900;900;2016-07-07;SÃO PAULO, SP;1.100.000,00;0,00;39.582,01;831,55;6;2;5;0;2;136;2.805;27.008;4.653;2;14;23;33;52;55;65;YPIRANGA/AP;
901;901;2016-07-09;SÃO PAULO, SP;1.400.000,00;0,00;24.609,09;504,62;6;2;5;0;3;209;2.976;27.233;6.555;7;15;33;38;72;77;80;REMO/PA;
902;902;2016-07-12;SÃO PAULO, SP;1.500.000,00;0,00;13.238,95;667,51;6;2;5;0;6;170;2.826;25.296;5.598;9;17;21;25;30;46;58;SÃO CAETANO/SP;
903;903;2016-07-14;SÃO PAULO, SP;1.800.000,00;0,00;13.201,19;650,30;6;2;5;0;6;174;2.734;25.972;4.364;6;25;26;28;36;45;66;CSA/AL;
904;904;2016-07-16;SÃO PAULO, SP;2.200.000,00;0,00;0,00;1.187,30;6;2;5;0;0;97;2.110;22.340;5.714;9;21;22;45;56;61;71;PONTE PRETA/SP;
905;905;2016-07-19;SÃO PAULO, SP;2.400.000,00;0,00;18.431,14;948,83;6;2;5;0;4;111;2.117;22.565;19.165;2;21;34;50;61;63;79;INTERNACIONAL/RS;
906;906;2016-07-21;SÃO PAULO, SP;2.700.000,00;0,00;0,00;1.042,89;6;2;5;0;0;118;2.238;23.447;7.512;19;30;32;44;61;64;67;AMÉRICA/MG;
907;907;2016-07-23;SÃO PAULO, SP;2.850.000,00;0,00;11.616,93;572,26;6;2;5;0;6;174;3.080;28.133;26.563;17;22;25;34;42;65;79;SÃO PAULO/SP;
908;908;2016-07-26;SÃO PAULO, SP;3.200.000,00;0,00;81.284,18;708,05;6;2;5;0;1;164;2.979;28.254;5.280;13;35;45;56;72;73;77;CRB/AL;
909;909;2016-07-28;SÃO PAULO, SP;3.600.000,00;0,00;13.836,95;538,40;6;2;5;0;7;257;4.415;36.940;7.301;1;5;25;28;44;54;80;JUVENTUS/SP;
910;910;2016-07-30;SÃO PAULO, SP;3.800.000,00;0,00;44.594,55;866,75;6;2;5;0;2;147;2.883;28.973;20.861;15;28;42;50;52;57;66;ATLÉTICO/MG;
911;911;2016-08-02;SÃO PAULO, SP;4.100.000,00;0,00;101.296,51;643,15;6;2;5;0;1;225;3.925;35.547;10.986;6;12;19;58;64;69;73;ATLÉTICO/GO;
912;912;2016-08-04;SÃO PAULO, SP;4.400.000,00;0,00;54.276,18;714,63;6;2;5;0;2;217;3.436;33.734;8.944;4;11;29;39;60;74;77;INTER LIMEIRA/SP;
913;913;2016-08-06;SÃO PAULO, SP;4.700.000,00;0,00;35.092,99;1.037,23;6;2;5;0;3;145;3.292;32.971;18.322;15;22;24;56;59;62;70;FORTALEZA/CE;
914;914;2016-08-09;SÃO PAULO, SP;5.000.000,00;0,00;34.056,46;947,76;6;2;5;0;3;154;3.095;31.793;23.767;6;7;41;50;51;55;65;ATLÉTICO/MG;
915;915;2016-08-11;SÃO PAULO, SP;5.400.000,00;0,00;37.246,18;1.010,29;6;2;5;0;3;158;3.189;33.026;9.656;14;22;25;30;67;68;73;IPATINGA/MG;
916;916;2016-08-13;SÃO PAULO, SP;5.600.000,00;0,00;23.122,86;842,66;6;2;5;0;5;196;3.719;35.379;11.206;3;21;66;69;73;75;78;TREZE/PB;
917;917;2016-08-16;SÃO PAULO, SP;5.900.000,00;0,00;22.282,13;1.033,49;6;2;5;0;5;154;3.086;30.435;6.549;20;28;37;46;55;70;75;NACIONAL/AM;
918;918;2016-08-18;SÃO PAULO, SP;6.200.000,00;0,00;18.878,56;797,91;6;2;5;0;5;169;3.323;32.293;32.172;22;39;49;52;58;67;75;GRÊMIO/RS;
919;919;2016-08-20;SÃO PAULO, SP;6.700.000,00;0,00;18.427,64;755,74;6;2;5;0;6;209;3.769;36.428;5.476;5;12;30;56;57;63;80;UNIÃO SÃO JOÃO/SP;
920;920;2016-08-23;SÃO PAULO, SP;7.000.000,00;0,00;58.772,70;693,89;6;2;5;0;2;242;4.416;40.836;9.652;5;15;19;34;37;47;51;BOTAFOGO/PB;
921;921;2016-08-25;SÃO PAULO, SP;7.400.000,00;0,00;25.447,41;982,52;6;2;5;0;5;185;3.647;35.904;11.339;7;30;54;66;68;69;71;BANGU/RJ;
922;922;2016-08-27;SÃO PAULO, SP;7.600.000,00;0,00;28.173,11;910,57;6;2;5;0;5;221;4.402;43.471;9.696;2;3;18;27;51;68;74;BARUERI/SP;
923;923;2016-08-30;SÃO PAULO, SP;8.000.000,00;0,00;21.364,24;810,27;6;2;5;0;6;226;4.303;39.459;10.511;10;25;31;45;50;70;72;AMÉRICA/RJ;
924;924;2016-09-01;SÃO PAULO, SP;8.800.000,00;0,00;10.426,57;659,90;6;2;5;0;14;316;5.409;49.802;9.721;6;12;19;38;49;63;75;CRICIÚMA/SC;
925;925;2016-09-03;SÃO PAULO, SP;9.000.000,00;0,00;18.241,45;570,04;6;2;5;0;7;320;5.906;52.307;36.468;2;13;16;34;55;77;78;VASCO DA GAMA/RJ;
