105;105;1998-03-08;;;0;11.824,08;133,14;0;55;4875;3;13;31;43;46;49
106;106;1998-03-15;Brasília, DF;0;0;7.678,27;133,65;0;94;5390;5;16;24;35;38;39
107;107;1998-03-22;;;0;21.494,23;211,26;0;35;3554;2;4;16;24;51;52
108;108;1998-03-29;;;0;22.511,72;320,57;0;35;2453;21;24;29;34;59;60
109;109;1998-04-04;;;0;21.153,30;212,15;0;39;3881;1;13;44;48;49;54
110;110;1998-04-11;;;0;27.771,48;302,01;0;35;3212;18;31;43;52;57;58
111;111;1998-04-18;;;0;18.082,94;200,88;0;68;6109;4;22;25;32;33;52
112;112;1998-04-25;;;15.802.579,93;9.957,01;163,25;1;137;8340;12;20;34;37;42;43
113;113;1998-05-02;;;0;14.269,55;210,4;0;38;2572;7;26;28;34;54;55
114;114;1998-05-09;;;0;9.626,08;138,99;0;71;4908;6;12;18;37;47;54
115;115;1998-05-16;;;0;9.283,10;141,95;0;78;5091;4;6;14;20;24;38
116;116;1998-05-23;BRASÍLIA, DF;0;0;11.956,28;144,91;0;64;5270;5;13;32;36;42;51
117;117;1998-05-30;;;0;22.046,87;207,26;0;36;3822;20;25;27;33;42;53
118;118;1998-06-06;;;0;16.052,88;195,56;0;53;4342;9;22;25;37;56;57
119;119;1998-06-13;;;0;38.921,16;303,13;0;21;2691;1;21;36;38;47;50
120;120;1998-06-20;;;0;13.020,97;169,04;0;92;7073;3;16;27;40;45;46
121;121;1998-06-27;;;0;28.917,00;285,17;0;45;4554;2;29;41;44;53;55
122;122;1998-07-04;;;0;18.210,45;209,43;0;83;7203;11;17;20;39;43;53
123;123;1998-07-11;;;0;12.440,56;166,06;0;176;13159;13;14;16;26;32;42
124;124;1998-07-18;;;24.536.288,72;17.242,12;230,76;1;188;14019;5;15;34;41;52;57
125;125;1998-07-25;;;0;15.425,68;254,38;0;46;2784;25;41;47;53;56;59
126;126;1998-08-01;;;0;10.052,56;151,13;0;83;5510;6;10;11;28;32;40
127;127;1998-08-08;;;0;23.638,47;361,14;0;40;2613;21;29;50;51;54;59
128;128;1998-08-15;;;0;1.024,41;84,91;0;973;11715;3;9;18;21;23;43
129;129;1998-08-22;Brasília, DF;0;0;15.634,41;196,51;0;67;5320;1;9;10;32;46;54
130;130;1998-08-29;;;0;11.796,24;160,03;0;155;11403;13;29;38;42;49;53
131;131;1998-09-05;;;0;6.811,67;113,19;0;361;21683;4;9;17;27;30;44
132;132;1998-09-12;;;0;20.846,64;244,29;0;143;12179;7;9;35;41;44;50
133;133;1998-09-19;;;30.533.241,12;10.035,16;147,51;1;431;29264;5;6;19;34;39;57
134;134;1998-09-26;;;0;10.253,38;183,42;0;82;4575;4;25;32;36;52;60
135;135;1998-10-03;;;0;24.573,18;272,19;0;40;3604;21;22;35;40;53;59
136;136;1998-10-10;;;0;8.435,36;143,29;0;126;7403;1;17;25;38;45;59
137;137;1998-10-17;;;0;12.675,49;166,13;0;88;6701;15;16;19;22;26;49
138;138;1998-10-24;;;0;14.074,36;173,74;0;86;6953;5;14;27;37;40;41
139;139;1998-10-31;;;3.902.486,14;7.216,46;137,14;2;179;9401;3;13;26;27;41;42
140;140;1998-11-07;;;0;36.581,33;332,24;0;45;4945;7;31;41;44;46;55
141;141;1998-11-14;;;0;20.106,10;226,7;0;119;10533;10;13;22;41;42;58
142;142;1998-11-21;;;0;18.143,56;209,66;0;162;13991;8;15;19;20;54;59
143;143;1998-11-28;;;0;24.792,99;324,1;0;144;10994;6;18;20;40;50;53
144;144;1998-12-05;;;33.597.755,21;20.952,14;224,38;1;257;23952;8;32;36;44;45;55
145;145;1998-12-12;;;0;15.061,27;314,91;0;71;3389;15;16;31;41;43;51
146;146;1998-12-19;;;0;23.923,45;298,52;0;51;4079;25;32;34;42;51;60
147;147;1998-12-24;;;3.805.750,38;11.760,17;162,48;1;75;5418;6;16;23;24;28;38
148;148;1998-12-31;;;0;53.660,04;345,95;0;15;2322;32;35;41;55;58;59
149;149;1999-01-09;Brasília, DF;0;0;9.795,13;164,74;0;106;6290;7;11;20;28;45;48
150;150;1999-01-16;;;0;36.378,71;367;0;56;5540;12;44;50;52;54;55
151;151;1999-01-23;;;24.091.811,02;14.678,07;225,62;1;152;9869;3;16;20;43;52;56
152;152;1999-01-30;;;0;11.562,39;172,03;0;75;5041;5;12;15;29;51;58
153;153;1999-02-06;;;0;22.846,45;254,57;0;47;4218;2;30;31;42;45;47
154;154;1999-02-13;;;0;7.888,29;122,78;0;144;9252;8;10;24;33;45;48
155;155;1999-02-20;;;4.988.808,21;16.126,32;217,22;1;67;4974;12;30;32;35;43;44
156;156;1999-02-27;;;0;11.018,10;183,02;0;74;4455;17;23;42;49;52;55
157;157;1999-03-06;;;2.140.030,92;7.224,03;108,84;1;134;8894;4;13;17;21;41;44
158;158;1999-03-13;;;0;25.856,53;220,81;0;31;3630;4;14;17;43;51;58
159;159;1999-03-20;Brasília, DF;0;2.038.170,67;15.735,49;217,49;1;57;4124;9;11;16;35;50;58
160;160;1999-03-27;Sto. Antônio da Platina, PR;0;0;19.431,89;234,5;0;74;6132;2;13;42;52;54;58
161;161;1999-04-03;;;0;14.430,61;199,69;0;95;6865;6;25;30;37;39;41
162;162;1999-04-10;;;0;20.941,30;265,96;0;92;7244;21;23;33;38;48;51
163;163;1999-04-17;;;8.975.833,36;15.657,23;211,8;2;146;10793;8;27;36;41;53;56
164;164;1999-04-24;;;0;7.595,63;100,54;0;111;8386;4;10;14;19;28;44
165;165;1999-05-01;;;1.044.444,54;11.968,35;166,91;2;75;5378;10;19;23;35;39;56
166;166;1999-05-08;;;0;17.424,67;242,95;0;47;3371;12;13;22;57;59;60
167;167;1999-05-15;;;2.100.980,21;11.364,11;186,48;1;82;4997;1;11;28;33;38;48
168;168;1999-05-22;;;0;15.743,70;214,2;0;48;3528;2;9;31;35;45;50
169;169;1999-05-29;Ourinhos, SP;0;0;13.679,08;198,07;0;65;4489;1;13;21;37;51;52
170;170;1999-06-05;;;0;32.383,95;258,78;0;50;6257;7;41;46;51;55;58
