id;ddsconc;ddsdata;ddslocal;ddspremioest;ddspr07;ddspr06;ddspr05;ddspr04;ddsprmes;ddsgan07;ddsgan06;ddsgan05;ddsgan04;ddsganmes;dds01;dds02;dds03;dds04;dds05;dds06;dds07;ddsdmes;ddscidadesgan;;;;;;;;;;
283;283;2020-03-28;SÃO PAULO, SP;300.000,00;351.866,98;2.908,34;20,00;4,00;2,00;1;28;1.274;17.065;52.455;2;8;17;20;21;22;24;Maio;;;;;;;;;;;
284;284;2020-03-31;SÃO PAULO, SP;100.000,00;0,00;1.972,28;20,00;4,00;2,00;0;40;1.656;20.538;60.353;1;3;4;5;18;22;25;Agosto;;;;;;;;;;;
285;285;2020-04-02;SÃO PAULO, SP;350.000,00;0,00;2.579,57;20,00;4,00;2,00;0;42;1.973;22.983;76.044;10;15;17;18;21;22;23;Agosto;;;;;;;;;;;
286;286;2020-04-04;SÃO PAULO, SP;650.000,00;722.112,14;1.880,67;20,00;4,00;2,00;1;65;2.515;29.992;83.610;4;5;19;23;28;29;30;Fevereiro;;;;;;;;;;;
287;287;2020-04-07;SÃO PAULO, SP;200.000,00;0,00;3.679,60;20,00;4,00;2,00;0;27;1.596;21.232;85.596;10;14;15;16;18;24;30;Outubro;;;;;;;;;;;
288;288;2020-04-09;SÃO PAULO, SP;400.000,00;521.105,15;2.339,28;20,00;4,00;2,00;1;53;1.919;25.764;73.310;7;11;16;21;23;28;30;Janeiro;;;;;;;;;;;
289;289;2020-04-11;SÃO PAULO, SP;100.000,00;0,00;1.714,86;20,00;4,00;2,00;0;42;1.264;15.610;48.216;2;4;14;17;19;21;30;Fevereiro;;;;;;;;;;;
290;290;2020-04-14;SÃO PAULO, SP;300.000,00;0,00;1.475,02;20,00;4,00;2,00;0;72;2.234;27.564;74.080;5;12;13;18;21;23;29;Fevereiro;;;;;;;;;;;
291;291;2020-04-16;SÃO PAULO, SP;700.000,00;0,00;1.410,53;20,00;4,00;2,00;0;111;3.157;36.549;82.257;2;3;5;7;10;17;20;Novembro;;;;;;;;;;;
292;292;2020-04-18;SÃO PAULO, SP;900.000,00;0,00;2.195,27;20,00;4,00;2,00;0;63;2.170;29.895;87.575;1;4;5;19;22;23;24;Novembro;;;;;;;;;;;
293;293;2020-04-20;SÃO PAULO, SP;1.200.000,00;1.157.577,22;861,79;20,00;4,00;2,00;1;116;2.705;22.508;52.581;3;7;13;20;25;27;28;Novembro;;;;;;;;;;;
294;294;2020-04-23;SÃO PAULO, SP;100.000,00;212.010,05;1.465,51;20,00;4,00;2,00;1;62;2.282;26.875;84.647;4;5;10;12;14;19;24;Outubro;;;;;;;;;;;
295;295;2020-04-25;SÃO PAULO, SP;100.000,00;0,00;2.096,76;20,00;4,00;2,00;0;43;1.719;22.427;63.703;1;4;5;9;10;22;30;Maio;;;;;;;;;;;
296;296;2020-04-28;SÃO PAULO, SP;400.000,00;0,00;1.754,86;20,00;4,00;2,00;0;62;2.442;26.626;85.935;4;6;13;18;21;22;27;Março;;;;;;;;;;;
297;297;2020-04-30;SÃO PAULO, SP;700.000,00;0,00;2.880,22;20,00;4,00;2,00;0;45;2.107;27.445;107.236;10;13;14;15;20;23;29;Abril;;;;;;;;;;;
298;298;2020-05-02;SÃO PAULO, SP;1.000.000,00;0,00;1.681,03;20,00;4,00;2,00;0;68;2.173;26.588;64.509;3;4;8;9;16;24;31;Janeiro;;;;;;;;;;;
299;299;2020-05-05;SÃO PAULO, SP;1.300.000,00;0,00;2.458,85;20,00;4,00;2,00;0;65;2.812;36.794;120.265;3;14;15;17;20;21;22;Abril;;;;;;;;;;;
300;300;2020-05-07;SÃO PAULO, SP;1.700.000,00;0,00;2.537,15;20,00;4,00;2,00;0;78;2.479;36.399;129.369;10;15;16;17;24;25;31;Novembro;;;;;;;;;;;
301;301;2020-05-09;SÃO PAULO, SP;2.200.000,00;0,00;2.318,66;20,00;4,00;2,00;0;93;3.487;46.168;146.816;11;18;22;27;28;29;30;Novembro;;;;;;;;;;;
302;302;2020-05-12;SÃO PAULO, SP;2.800.000,00;2.922.719,80;1.937,33;20,00;4,00;2,00;1;122;4.314;51.866;125.871;1;4;7;10;15;25;31;Janeiro;;;;;;;;;;;
303;303;2020-05-14;SÃO PAULO, SP;200.000,00;125.833,64;1.634,20;20,00;4,00;2,00;2;66;2.435;28.533;79.930;5;13;15;16;18;25;30;Abril;;;;;;;;;;;
304;304;2020-05-16;SÃO PAULO, SP;200.000,00;0,00;3.369,60;20,00;4,00;2,00;0;37;1.541;21.084;63.110;1;2;16;23;24;25;30;Janeiro;;;;;;;;;;;
305;305;2020-05-19;SÃO PAULO, SP;600.000,00;0,00;2.970,08;20,00;4,00;2,00;0;44;2.200;29.479;94.957;4;8;9;10;20;25;28;Agosto;;;;;;;;;;;
306;306;2020-05-21;SÃO PAULO, SP;850.000,00;0,00;3.765,03;20,00;4,00;2,00;0;41;2.350;32.227;103.319;3;11;12;13;20;24;30;Fevereiro;;;;;;;;;;;
307;307;2020-05-23;SÃO PAULO, SP;1.200.000,00;0,00;2.041,68;20,00;4,00;2,00;0;86;3.400;41.229;97.029;4;8;14;15;16;24;27;Janeiro;;;;;;;;;;;
308;308;2020-05-26;SÃO PAULO, SP;1.700.000,00;0,00;2.980,92;20,00;4,00;2,00;0;63;2.774;34.942;99.503;10;11;16;20;21;23;28;Janeiro;;;;;;;;;;;
309;309;2020-05-28;SÃO PAULO, SP;2.100.000,00;0,00;1.666,80;20,00;4,00;2,00;0;122;4.037;49.715;124.202;2;5;10;11;12;18;19;Junho;;;;;;;;;;;
310;310;2020-05-30;SÃO PAULO, SP;2.600.000,00;0,00;1.475,72;20,00;4,00;2,00;0;151;4.637;54.010;158.626;6;7;9;10;13;14;21;Abril;;;;;;;;;;;
311;311;2020-06-02;SÃO PAULO, SP;3.200.000,00;1.734.937,75;1.998,60;20,00;4,00;2,00;2;144;5.131;63.736;190.024;1;3;9;16;17;21;22;Abril;;;;;;;;;;;
312;312;2020-06-04;SÃO PAULO, SP;300.000,00;0,00;1.828,03;20,00;4,00;2,00;0;72;2.278;28.571;92.201;2;9;15;22;24;29;30;Abril;;;;;;;;;;;
313;313;2020-06-06;SÃO PAULO, SP;600.000,00;627.093,47;1.780,99;20,00;4,00;2,00;1;77;2.967;34.019;118.906;9;12;16;19;24;28;29;Outubro;;;;;;;;;;;
314;314;2020-06-09;SÃO PAULO, SP;350.000,00;0,00;2.579,54;20,00;4,00;2,00;0;55;1.837;25.920;96.075;1;7;9;11;22;25;26;Novembro;;;;;;;;;;;
315;315;2020-06-12;SÃO PAULO, SP;700.000,00;0,00;3.110,10;20,00;4,00;2,00;0;46;1.883;26.008;75.571;9;10;19;22;26;27;28;Julho;;;;;;;;;;;
316;316;2020-06-13;SÃO PAULO, SP;900.000,00;0,00;2.128,35;20,00;4,00;2,00;0;53;1.853;23.945;75.143;1;10;13;14;16;22;30;Novembro;;;;;;;;;;;
317;317;2020-06-16;SÃO PAULO, SP;1.200.000,00;1.333.246,37;2.019,19;20,00;4,00;2,00;1;86;3.204;39.898;117.383;5;7;8;14;15;22;28;Fevereiro;;;;;;;;;;;
318;318;2020-06-18;SÃO PAULO, SP;300.000,00;0,00;2.223,04;20,00;4,00;2,00;0;57;1.915;25.777;90.647;6;11;14;16;18;28;30;Dezembro;;;;;;;;;;;
319;319;2020-06-20;SÃO PAULO, SP;600.000,00;610.950,18;1.484,86;20,00;4,00;2,00;1;91;3.534;39.888;104.074;3;10;14;17;28;29;30;Dezembro;;;;;;;;;;;
320;320;2020-06-23;SÃO PAULO, SP;300.000,00;147.013,54;1.551,86;20,00;4,00;2,00;2;116;3.082;34.836;95.974;4;9;12;13;15;26;27;Novembro;;;;;;;;;;;
321;321;2020-06-25;SÃO PAULO, SP;200.000,00;301.188,25;2.581,61;20,00;4,00;2,00;1;50;2.057;25.587;73.528;7;13;21;22;26;29;31;Janeiro;;;;;;;;;;;
322;322;2020-06-27;SÃO PAULO, SP;300.000,00;0,00;1.864,59;20,00;4,00;2,00;0;56;2.263;26.692;77.913;4;9;12;19;20;26;28;Abril;;;;;;;;;;;
323;323;2020-06-30;SÃO PAULO, SP;600.000,00;0,00;3.215,49;20,00;4,00;2,00;0;43;2.313;30.255;103.897;1;9;24;25;27;29;30;Agosto;;;;;;;;;;;
324;324;2020-07-02;SÃO PAULO, SP;800.000,00;924.594,11;1.513,02;20,00;4,00;2,00;1;145;3.904;40.357;108.896;3;6;14;18;24;27;30;Maio;;;;;;;;;;;
325;325;2020-07-04;SÃO PAULO, SP;300.000,00;0,00;2.633,26;20,00;4,00;2,00;0;53;2.040;26.845;84.066;7;8;19;20;21;24;26;Julho;;;;;;;;;;;
326;326;2020-07-07;SÃO PAULO, SP;600.000,00;0,00;2.259,36;20,00;4,00;2,00;0;65;2.739;33.325;108.100;1;10;15;16;22;24;29;Agosto;;;;;;;;;;;
327;327;2020-07-09;SÃO PAULO, SP;1.000.000,00;0,00;1.489,07;20,00;4,00;2,00;0;98;3.290;40.620;156.101;4;9;13;15;21;23;25;Setembro;;;;;;;;;;;
328;328;2020-07-11;SÃO PAULO, SP;1.400.000,00;1.428.508,72;1.746,29;20,00;4,00;2,00;1;103;3.160;38.962;125.332;11;14;17;20;23;25;27;Dezembro;;;;;;;;;;;
329;329;2020-07-14;SÃO PAULO, SP;350.000,00;0,00;2.069,31;20,00;4,00;2,00;0;58;2.277;29.721;95.947;2;6;9;17;18;19;22;Março;;;;;;;;;;;
330;330;2020-07-16;SÃO PAULO, SP;600.000,00;0,00;1.746,57;20,00;4,00;2,00;0;71;2.823;32.248;94.291;7;10;11;17;23;24;29;Março;;;;;;;;;;;
331;331;2020-07-18;SÃO PAULO, SP;800.000,00;909.501,39;1.429,03;20,00;4,00;2,00;1;102;2.811;34.127;107.311;7;8;23;26;29;30;31;Fevereiro;;;;;;;;;;;
332;332;2020-07-21;SÃO PAULO, SP;300.000,00;0,00;2.282,33;20,00;4,00;2,00;0;52;1.982;26.449;91.370;6;8;9;14;15;18;25;Agosto;;;;;;;;;;;
333;333;2020-07-23;SÃO PAULO, SP;500.000,00;0,00;1.461,58;20,00;4,00;2,00;0;82;2.885;33.246;96.380;5;10;13;16;18;20;22;Agosto;;;;;;;;;;;
334;334;2020-07-25;SÃO PAULO, SP;850.000,00;285.792,81;1.096,23;20,00;4,00;2,00;3;168;4.749;46.364;139.958;3;5;12;14;19;24;28;Outubro;;;;;;;;;;;
335;335;2020-07-28;SÃO PAULO, SP;300.000,00;0,00;2.017,12;20,00;4,00;2,00;0;61;2.415;30.944;92.085;1;3;5;10;13;14;26;Abril;;;;;;;;;;;
336;336;2020-07-30;SÃO PAULO, SP;600.000,00;300.193,17;1.342,65;20,00;4,00;2,00;2;100;3.056;32.976;98.729;4;8;11;13;23;26;28;Abril;;;;;;;;;;;
337;337;2020-08-01;SÃO PAULO, SP;250.000,00;0,00;2.762,88;20,00;4,00;2,00;0;48;1.858;25.664;93.375;1;6;7;20;21;27;30;Abril;;;;;;;;;;;
338;338;2020-08-04;SÃO PAULO, SP;600.000,00;0,00;2.728,17;20,00;4,00;2,00;0;54;2.791;35.111;86.925;3;8;10;11;14;23;24;Junho;;;;;;;;;;;
339;339;2020-08-06;SÃO PAULO, SP;900.000,00;0,00;2.794,15;20,00;4,00;2,00;0;59;2.838;36.757;94.687;1;5;9;10;23;24;25;Janeiro;;;;;;;;;;;
340;340;2020-08-08;SÃO PAULO, SP;1.400.000,00;0,00;2.191,75;20,00;4,00;2,00;0;90;4.163;48.229;112.484;4;7;16;17;20;27;28;Junho;;;;;;;;;;;
341;341;2020-08-11;SÃO PAULO, SP;1.900.000,00;1.915.774,54;1.420,58;20,00;4,00;2,00;1;126;4.359;52.718;180.734;1;5;8;10;11;13;27;Agosto;;;;;;;;;;;
342;342;2020-08-13;SÃO PAULO, SP;250.000,00;276.394,41;2.889,14;20,00;4,00;2,00;1;41;1.788;23.292;76.883;2;7;8;11;12;20;30;Fevereiro;;;;;;;;;;;
343;343;2020-08-15;SÃO PAULO, SP;250.000,00;0,00;2.665,23;20,00;4,00;2,00;0;44;1.670;22.284;87.507;1;7;11;25;26;29;31;Março;;;;;;;;;;;
344;344;2020-08-18;SÃO PAULO, SP;600.000,00;0,00;2.248,05;20,00;4,00;2,00;0;58;1.757;23.269;95.431;1;2;17;23;24;25;31;Abril;;;;;;;;;;;
345;345;2020-08-20;SÃO PAULO, SP;800.000,00;0,00;1.450,82;20,00;4,00;2,00;0;86;3.249;35.264;92.603;5;7;8;13;22;26;30;Maio;;;;;;;;;;;
346;346;2020-08-22;SÃO PAULO, SP;1.100.000,00;0,00;3.275,33;20,00;4,00;2,00;0;49;1.943;26.435;106.861;14;15;17;21;24;25;31;Abril;;;;;;;;;;;
347;347;2020-08-25;SÃO PAULO, SP;1.500.000,00;0,00;2.362,32;20,00;4,00;2,00;0;63;2.438;32.925;152.684;6;8;19;20;22;23;29;Setembro;;;;;;;;;;;
348;348;2020-08-27;SÃO PAULO, SP;1.900.000,00;2.021.829,64;2.368,62;20,00;4,00;2,00;1;78;3.196;40.967;100.475;2;10;18;19;24;26;27;Janeiro;;;;;;;;;;;
349;349;2020-08-29;SÃO PAULO, SP;300.000,00;237.434,50;2.035,16;20,00;4,00;2,00;1;50;2.064;27.174;92.392;2;10;17;25;26;28;29;Outubro;;;;;;;;;;;
350;350;2020-09-01;SÃO PAULO, SP;250.000,00;0,00;2.628,12;20,00;4,00;2,00;0;41;1.534;22.969;80.701;7;16;20;23;24;25;26;Novembro;;;;;;;;;;;
351;351;2020-09-03;SÃO PAULO, SP;400.000,00;0,00;3.050,97;20,00;4,00;2,00;0;40;2.040;25.974;66.465;4;8;9;11;18;19;26;Junho;;;;;;;;;;;
352;352;2020-09-05;SÃO PAULO, SP;800.000,00;0,00;2.946,41;20,00;4,00;2,00;0;45;2.144;28.055;108.014;5;11;12;15;18;22;26;Agosto;;;;;;;;;;;
353;353;2020-09-08;SÃO PAULO, SP;1.000.000,00;0,00;1.564,35;20,00;4,00;2,00;0;79;2.124;24.920;66.716;9;16;20;22;24;28;30;Julho;;;;;;;;;;;
354;354;2020-09-10;SÃO PAULO, SP;1.400.000,00;0,00;3.654,41;20,00;4,00;2,00;0;44;2.176;31.899;113.932;6;8;20;21;24;28;29;Dezembro;;;;;;;;;;;
355;355;2020-09-12;SÃO PAULO, SP;1.800.000,00;0,00;2.691,45;20,00;4,00;2,00;0;61;2.513;32.722;82.436;4;12;13;16;19;22;31;Julho;;;;;;;;;;;
356;356;2020-09-15;SÃO PAULO, SP;2.200.000,00;0,00;1.737,33;20,00;4,00;2,00;0;117;3.725;46.183;158.458;1;2;10;15;22;23;28;Março;;;;;;;;;;;
357;357;2020-09-17;SÃO PAULO, SP;2.700.000,00;2.828.731,53;1.478,44;20,00;4,00;2,00;1;134;4.327;54.370;229.311;3;4;6;11;23;24;26;Setembro;;;;;;;;;;;
358;358;2020-09-19;SÃO PAULO, SP;300.000,00;128.899,34;2.511,03;20,00;4,00;2,00;2;44;2.295;29.849;82.982;3;4;5;15;25;27;29;Fevereiro;;;;;;;;;;;
359;359;2020-09-22;SÃO PAULO, SP;250.000,00;0,00;1.681,79;20,00;4,00;2,00;0;64;1.880;22.837;71.576;6;9;14;20;21;22;25;Dezembro;;;;;;;;;;;
360;360;2020-09-24;SÃO PAULO, SP;500.000,00;0,00;1.394,54;20,00;4,00;2,00;0;73;2.265;28.438;98.803;10;11;13;19;25;27;30;Outubro;;;;;;;;;;;
361;361;2020-09-26;SÃO PAULO, SP;700.000,00;0,00;2.450,96;20,00;4,00;2,00;0;55;2.027;26.696;66.153;1;4;5;12;14;22;27;Julho;;;;;;;;;;;
362;362;2020-09-29;SÃO PAULO, SP;1.100.000,00;1.134.174,43;1.447,31;20,00;4,00;2,00;1;98;3.374;38.083;104.368;3;7;10;19;29;30;31;Maio;;;;;;;;;;;
363;363;2020-10-01;SÃO PAULO, SP;300.000,00;0,00;3.607,44;20,00;4,00;2,00;0;27;1.472;20.978;91.962;2;11;12;13;14;18;30;Outubro;;;;;;;;;;;
364;364;2020-10-03;SÃO PAULO, SP;400.000,00;0,00;1.062,26;20,00;4,00;2,00;0;143;3.612;34.357;68.915;3;6;7;12;15;23;28;Janeiro;;;;;;;;;;;
365;365;2020-10-06;SÃO PAULO, SP;700.000,00;0,00;2.448,09;20,00;4,00;2,00;0;51;1.848;23.679;66.449;6;11;14;15;17;19;21;Janeiro;;;;;;;;;;;
366;366;2020-10-08;SÃO PAULO, SP;1.000.000,00;1.083.940,07;2.228,84;20,00;4,00;2,00;1;61;2.242;29.369;99.334;17;19;23;25;26;29;31;Novembro;;;;;;;;;;;
367;367;2020-10-10;SÃO PAULO, SP;250.000,00;236.556,17;1.788,02;20,00;4,00;2,00;1;81;2.411;27.008;82.727;6;15;17;22;23;26;29;Março;;;;;;;;;;;
368;368;2020-10-13;SÃO PAULO, SP;200.000,00;0,00;2.451,82;20,00;4,00;2,00;0;35;1.518;16.758;45.486;12;20;21;22;24;26;28;Junho;;;;;;;;;;;
369;369;2020-10-15;SÃO PAULO, SP;500.000,00;433.127,31;2.434,44;20,00;4,00;2,00;1;41;1.860;23.397;105.019;10;15;16;17;19;21;30;Outubro;;;;;;;;;;;
370;370;2020-10-17;SÃO PAULO, SP;250.000,00;239.547,35;1.740,06;20,00;4,00;2,00;1;59;1.988;21.160;80.404;4;6;11;15;19;21;22;Agosto;;;;;;;;;;;
371;371;2020-10-20;SÃO PAULO, SP;200.000,00;0,00;1.946,03;20,00;4,00;2,00;0;44;1.682;20.127;82.270;3;11;12;16;24;29;31;Setembro;;;;;;;;;;;
372;372;2020-10-22;SÃO PAULO, SP;400.000,00;0,00;1.731,86;20,00;4,00;2,00;0;55;1.781;22.567;68.884;2;4;19;20;23;26;27;Dezembro;;;;;;;;;;;
373;373;2020-10-24;SÃO PAULO, SP;650.000,00;680.019,90;2.763,99;20,00;4,00;2,00;1;40;1.858;24.047;87.492;5;10;21;25;26;29;31;Abril;;;;;;;;;;;
374;374;2020-10-27;SÃO PAULO, SP;200.000,00;0,00;2.488,12;20,00;4,00;2,00;0;35;1.650;20.708;68.368;3;8;9;20;21;23;27;Março;;;;;;;;;;;
375;375;2020-10-29;SÃO PAULO, SP;400.000,00;0,00;2.405,51;20,00;4,00;2,00;0;42;1.589;21.626;68.017;4;8;9;13;20;23;30;Dezembro;;;;;;;;;;;
376;376;2020-10-31;SÃO PAULO, SP;700.000,00;0,00;1.788,41;20,00;4,00;2,00;0;60;2.254;28.042;83.143;7;9;10;13;20;22;25;Março;;;;;;;;;;;
377;377;2020-11-03;SÃO PAULO, SP;900.000,00;0,00;1.639,93;20,00;4,00;2,00;0;56;1.723;21.048;87.607;1;11;12;13;17;29;31;Outubro;;;;;;;;;;;
378;378;2020-11-05;SÃO PAULO, SP;1.100.000,00;0,00;1.421,66;20,00;4,00;2,00;0;93;2.475;31.899;98.634;11;13;18;21;23;25;27;Agosto;;;;;;;;;;;
379;379;2020-11-07;SÃO PAULO, SP;1.500.000,00;1.538.651,36;1.537,95;20,00;4,00;2,00;1;91;3.084;37.383;111.709;3;7;14;21;24;26;27;Março;;;;;;;;;;;
380;380;2020-11-10;SÃO PAULO, SP;200.000,00;0,00;2.055,26;20,00;4,00;2,00;0;50;1.719;22.061;54.138;5;15;17;22;26;28;31;Junho;;;;;;;;;;;
381;381;2020-11-12;SÃO PAULO, SP;500.000,00;0,00;1.948,41;20,00;4,00;2,00;0;52;1.846;23.290;75.203;14;15;16;17;22;24;29;Dezembro;;;;;;;;;;;
382;382;2020-11-14;SÃO PAULO, SP;700.000,00;754.442,55;1.806,85;20,00;4,00;2,00;1;66;2.399;29.536;64.575;10;13;17;20;22;26;28;Junho;;;;;;;;;;;
383;383;2020-11-17;SÃO PAULO, SP;250.000,00;0,00;1.589,62;20,00;4,00;2,00;0;55;1.763;19.395;69.834;2;9;11;16;22;24;30;Março;;;;;;;;;;;
384;384;2020-11-19;SÃO PAULO, SP;400.000,00;0,00;1.666,85;20,00;4,00;2,00;0;56;1.888;22.801;62.925;2;3;6;9;10;15;26;Maio;;;;;;;;;;;
385;385;2020-11-21;SÃO PAULO, SP;650.000,00;688.411,28;5.440,98;20,00;4,00;2,00;1;21;1.302;19.357;58.812;4;6;7;14;15;22;31;Junho;;;;;;;;;;;
386;386;2020-11-24;SÃO PAULO, SP;200.000,00;0,00;1.860,74;20,00;4,00;2,00;0;45;1.352;17.828;73.052;5;10;11;20;22;29;31;Setembro;;;;;;;;;;;
387;387;2020-11-26;SÃO PAULO, SP;400.000,00;0,00;2.163,98;20,00;4,00;2,00;0;46;1.718;20.666;49.426;2;6;15;18;21;22;23;Julho;;;;;;;;;;;
388;388;2020-11-28;SÃO PAULO, SP;600.000,00;653.074,06;1.327,09;20,00;4,00;2,00;1;104;2.962;28.728;81.872;2;4;7;9;15;22;26;Março;;;;;;;;;;;
389;389;2020-12-01;SÃO PAULO, SP;200.000,00;0,00;1.901,56;20,00;4,00;2,00;0;62;2.219;24.822;67.859;5;16;23;25;27;28;29;Agosto;;;;;;;;;;;
390;390;2020-12-03;SÃO PAULO, SP;400.000,00;420.528,83;1.809,24;20,00;4,00;2,00;1;54;1.614;21.647;71.336;1;12;17;25;26;28;29;Fevereiro;;;;;;;;;;;
391;391;2020-12-05;SÃO PAULO, SP;200.000,00;0,00;1.767,25;20,00;4,00;2,00;0;66;2.662;28.363;81.427;5;7;10;11;13;17;23;Setembro;;;;;;;;;;;
392;392;2020-12-08;SÃO PAULO, SP;400.000,00;0,00;1.347,57;20,00;4,00;2,00;0;61;2.107;24.363;78.590;3;4;10;18;22;24;28;Outubro;;;;;;;;;;;
393;393;2020-12-10;SÃO PAULO, SP;600.000,00;0,00;1.617,14;20,00;4,00;2,00;0;60;2.027;24.952;81.235;6;13;19;21;23;27;28;Março;;;;;;;;;;;
394;394;2020-12-12;SÃO PAULO, SP;800.000,00;0,00;2.513,34;20,00;4,00;2,00;0;48;1.876;25.087;78.515;1;2;5;8;15;24;25;Maio;;;;;;;;;;;
395;395;2020-12-15;SÃO PAULO, SP;1.100.000,00;0,00;2.203,14;20,00;4,00;2,00;0;58;1.905;24.159;97.442;8;14;16;21;25;30;31;Agosto;;;;;;;;;;;
396;396;2020-12-17;SÃO PAULO, SP;1.400.000,00;0,00;2.312,53;20,00;4,00;2,00;0;55;2.309;28.190;85.597;1;2;14;17;23;25;26;Agosto;;;;;;;;;;;
397;397;2020-12-19;SÃO PAULO, SP;1.700.000,00;0,00;1.484,66;20,00;4,00;2,00;0;91;3.026;33.759;103.867;7;8;9;10;12;14;30;Abril;;;;;;;;;;;
398;398;2020-12-22;SÃO PAULO, SP;2.000.000,00;0,00;1.582,03;20,00;4,00;2,00;0;103;3.105;35.120;115.213;2;3;7;10;20;30;31;Agosto;;;;;;;;;;;
399;399;2020-12-24;SÃO PAULO, SP;2.500.000,00;0,00;1.764,48;20,00;4,00;2,00;0;119;3.186;35.320;101.761;2;7;15;19;20;23;24;Abril;;;;;;;;;;;
400;400;2020-12-29;SÃO PAULO, SP;2.800.000,00;3.102.637,30;2.640,18;20,00;4,00;2,00;1;94;4.271;53.363;176.968;6;12;17;19;21;23;31;Novembro;;;;;;;;;;;
401;401;2020-12-31;SÃO PAULO, SP;200.000,00;0,00;2.499,77;20,00;4,00;2,00;0;28;1.390;19.721;63.996;3;4;6;7;10;24;31;Setembro;;;;;;;;;;;
402;402;2021-01-05;SÃO PAULO, SP;400.000,00;432.506,95;1.648,10;20,00;4,00;2,00;1;70;2.452;30.799;97.619;1;3;5;7;20;22;29;Março;;;;;;;;;;;
403;403;2021-01-07;SÃO PAULO, SP;200.000,00;207.744,80;2.023,49;20,00;4,00;2,00;1;44;1.518;20.606;65.751;4;9;11;25;26;29;30;Abril;;;;;;;;;;;
404;404;2021-01-09;SÃO PAULO, SP;200.000,00;0,00;1.985,42;20,00;4,00;2,00;0;47;1.603;19.939;61.828;1;2;9;14;16;25;29;Novembro;;;;;;;;;;;
405;405;2021-01-12;SÃO PAULO, SP;450.000,00;0,00;1.517,25;20,00;4,00;2,00;0;61;2.227;26.342;73.056;4;5;7;11;13;18;30;Dezembro;;;;;;;;;;;
406;406;2021-01-14;SÃO PAULO, SP;650.000,00;0,00;1.892,60;20,00;4,00;2,00;0;56;1.798;22.491;83.402;1;10;11;15;19;20;22;Agosto;;;;;;;;;;;
407;407;2021-01-16;SÃO PAULO, SP;900.000,00;947.540,30;1.705,02;20,00;4,00;2,00;1;67;2.123;27.653;86.218;4;5;12;13;16;25;26;Fevereiro;;;;;;;;;;;
408;408;2021-01-19;SÃO PAULO, SP;200.000,00;0,00;1.669,98;20,00;4,00;2,00;0;49;1.682;20.487;71.871;10;14;17;20;25;27;29;Outubro;;;;;;;;;;;
409;409;2021-01-21;SÃO PAULO, SP;400.000,00;0,00;1.773,66;20,00;4,00;2,00;0;51;1.818;21.094;71.083;10;14;16;24;28;30;31;Janeiro;;;;;;;;;;;
410;410;2021-01-23;SÃO PAULO, SP;600.000,00;0,00;1.689,68;20,00;4,00;2,00;0;59;1.668;21.363;87.109;6;12;14;16;18;27;31;Setembro;;;;;;;;;;;
411;411;2021-01-26;SÃO PAULO, SP;800.000,00;873.988,75;1.349,87;20,00;4,00;2,00;1;76;2.237;25.949;71.488;3;4;8;11;19;26;27;Janeiro;;;;;;;;;;;
412;412;2021-01-28;SÃO PAULO, SP;200.000,00;0,00;2.078,71;20,00;4,00;2,00;0;38;1.304;18.665;54.460;4;9;10;12;13;19;21;Janeiro;;;;;;;;;;;
413;413;2021-01-30;SÃO PAULO, SP;400.000,00;0,00;2.099,79;20,00;4,00;2,00;0;44;1.700;20.556;79.823;3;6;9;12;16;21;22;Março;;;;;;;;;;;
414;414;2021-02-02;SÃO PAULO, SP;600.000,00;635.313,28;2.522,38;20,00;4,00;2,00;1;40;1.686;22.213;82.204;2;11;17;20;28;30;31;Março;;;;;;;;;;;
415;415;2021-02-04;SÃO PAULO, SP;200.000,00;0,00;1.686,68;20,00;4,00;2,00;0;48;1.806;19.841;68.620;4;8;10;14;20;27;29;Fevereiro;;;;;;;;;;;
416;416;2021-02-06;SÃO PAULO, SP;400.000,00;414.149,89;1.379,04;20,00;4,00;2,00;1;70;2.091;23.515;81.641;3;8;11;13;23;24;30;Outubro;;;;;;;;;;;
417;417;2021-02-09;SÃO PAULO, SP;200.000,00;0,00;1.674,92;20,00;4,00;2,00;0;50;2.051;20.353;67.171;3;8;11;17;19;21;26;Agosto;;;;;;;;;;;
418;418;2021-02-11;SAO PAULO, SP;400.000,00;0,00;1.988,73;20,00;4,00;2,00;0;46;1.625;21.410;74.111;7;9;20;23;25;27;31;Outubro;;;;;;;;;;;
419;419;2021-02-13;SÃO PAULO, SP;600.000,00;0,00;1.141,68;20,00;4,00;2,00;0;119;2.521;27.827;89.933;2;3;10;13;17;24;31;Setembro;;;;;;;;;;;
420;420;2021-02-18;SÃO PAULO, SP;800.000,00;0,00;1.977,98;20,00;4,00;2,00;0;57;2.468;29.287;100.597;1;5;9;10;14;16;25;Setembro;;;;;;;;;;;
421;421;2021-02-20;SÃO PAULO, SP;1.100.000,00;0,00;1.658,04;20,00;4,00;2,00;0;76;2.716;28.947;94.277;6;9;11;14;19;22;25;Agosto;;;;;;;;;;;
422;422;2021-02-23;SÃO PAULO, SP;1.400.000,00;0,00;2.595,82;20,00;4,00;2,00;0;54;1.960;28.364;77.098;6;7;19;24;27;28;31;Junho;;;;;;;;;;;
423;423;2021-02-25;SÃO PAULO, SP;1.700.000,00;0,00;1.480,39;20,00;4,00;2,00;0;85;3.254;35.585;96.699;5;7;9;13;18;21;30;Novembro;;;;;;;;;;;
