id;ddsconc;ddsdata;ddslocal;ddspremioest;ddspr07;ddspr06;ddspr05;ddspr04;ddsprmes;ddsgan07;ddsgan06;ddsgan05;ddsgan04;ddsganmes;dds01;dds02;dds03;dds04;dds05;dds06;dds07;ddsdmes;ddscidadesgan;;;;;;;;;;
47;47;2018-09-06;SÃO PAULO, SP;1.000.000,00;0,00;1.766,73;20,00;4,00;2,00;0;118;4.437;58.493;240.115;5;7;13;15;16;20;22;9;;;;;;;;;;;
48;48;2018-09-08;SÃO BENTO DO SUL, SC;1.300.000,00;0,00;1.853,51;20,00;4,00;2,00;0;87;2.944;36.664;108.816;6;8;10;17;23;29;31;4;;;;;;;;;;;
49;49;2018-09-11;SÃO PAULO, SP;1.800.000,00;2.099.216,63;2.384,67;20,00;4,00;2,00;1;126;4.724;60.105;170.058;4;11;16;17;20;23;31;1;;;;;;;;;;;
50;50;2018-09-13;SÃO PAULO, SP;500.000,00;0,00;2.252,00;20,00;4,00;2,00;0;93;3.271;47.806;231.428;14;16;17;18;22;23;31;9;;;;;;;;;;;
51;51;2018-09-15;SERRA NEGRA, SP;1.000.000,00;164.398,02;1.417,28;20,00;4,00;2,00;6;215;6.144;58.228;249.914;2;8;10;14;16;24;28;9;;;;;;;;;;;
52;52;2018-09-18;SÃO PAULO, SP;500.000,00;485.937,23;1.946,35;20,00;4,00;2,00;1;107;4.099;51.005;246.074;7;12;14;20;22;24;26;9;;;;;;;;;;;
53;53;2018-09-20;SÃO PAULO, SP;400.000,00;0,00;1.659,04;20,00;4,00;2,00;0;176;5.595;61.556;148.769;3;7;16;18;19;25;30;4;;;;;;;;;;;
54;54;2018-09-22;OLIVEIRA, MG;1.000.000,00;0,00;2.770,68;20,00;4,00;2,00;0;90;3.771;50.833;181.882;4;11;18;21;24;25;27;8;;;;;;;;;;;
55;55;2018-09-25;SÃO PAULO, SP;1.500.000,00;0,00;2.640,63;20,00;4,00;2,00;0;97;4.098;53.228;245.526;1;8;16;18;22;25;28;10;;;;;;;;;;;
56;56;2018-09-27;SÃO PAULO, SP;2.100.000,00;2.313.959,25;1.794,91;20,00;4,00;2,00;1;157;5.413;68.661;179.576;9;10;15;16;17;23;31;12;;;;;;;;;;;
57;57;2018-09-29;PALMAS, PR;500.000,00;448.800,85;1.335,72;20,00;4,00;2,00;1;144;4.728;54.343;191.566;3;5;10;12;18;26;28;10;;;;;;;;;;;
58;58;2018-10-02;SÃO PAULO, SP;450.000,00;270.029,03;1.978,23;20,00;4,00;2,00;2;117;4.195;48.596;166.361;11;12;13;24;25;29;30;8;;;;;;;;;;;
59;59;2018-10-04;SÃO PAULO, SP;450.000,00;466.521,16;1.549,90;20,00;4,00;2,00;1;129;3.969;51.860;213.983;3;4;5;8;10;24;25;10;;;;;;;;;;;
60;60;2018-10-06;ITAPIRANGA, SC;450.000,00;0,00;2.337,54;20,00;4,00;2,00;0;88;3.117;45.578;218.293;1;6;7;8;17;18;22;10;;;;;;;;;;;
61;61;2018-10-09;SÃO PAULO, SP;1.000.000,00;496.363,26;1.075,10;20,00;4,00;2,00;2;292;7.063;69.420;162.227;5;8;10;13;19;25;28;4;;;;;;;;;;;
62;62;2018-10-11;SÃO PAULO, SP;500.000,00;0,00;1.830,59;20,00;4,00;2,00;0;121;4.537;56.821;140.493;7;11;13;18;23;28;30;12;;;;;;;;;;;
63;63;2018-10-13;JOAÇABA, SC;900.000,00;887.190,50;2.334,18;20,00;4,00;2,00;1;68;2.763;36.498;115.552;2;3;6;9;27;28;29;8;;;;;;;;;;;
64;64;2018-10-16;SÃO PAULO, SP;300.000,00;524.144,40;2.582,00;20,00;4,00;2,00;1;87;3.517;49.310;122.543;5;6;8;17;18;20;27;1;;;;;;;;;;;
65;65;2018-10-18;SÃO PAULO, SP;500.000,00;0,00;2.602,75;20,00;4,00;2,00;0;82;3.352;45.854;144.211;7;20;21;27;28;30;31;2;;;;;;;;;;;
66;66;2018-10-20;SANTA HELENA DE GOIÁS, GO;1.000.000,00;0,00;1.442,62;20,00;4,00;2,00;0;199;5.635;62.316;232.697;4;6;10;11;12;17;24;9;;;;;;;;;;;
67;67;2018-10-23;JEQUIÉ, BA;1.500.000,00;492.320,26;1.635,00;20,00;4,00;2,00;3;191;5.225;55.368;258.635;1;4;8;14;19;22;26;10;;;;;;;;;;;
68;68;2018-10-25;JEQUIÉ, BA;500.000,00;0,00;2.594,57;20,00;4,00;2,00;0;86;2.753;37.359;113.977;1;4;6;14;20;21;27;1;;;;;;;;;;;
69;69;2018-10-27;JEQUIÉ, BA;900.000,00;0,00;2.137,45;20,00;4,00;2,00;0;117;4.277;52.494;127.139;1;3;5;6;8;26;29;7;;;;;;;;;;;
70;70;2018-10-30;ARAPIRACA, AL;1.500.000,00;871.901,25;1.944,18;20,00;4,00;2,00;2;141;4.956;63.047;177.558;2;4;5;9;11;28;29;12;;;;;;;;;;;
71;71;2018-11-01;ARAPIRACA, AL;450.000,00;0,00;1.498,17;20,00;4,00;2,00;0;132;4.731;57.062;215.074;4;6;7;8;24;27;31;9;;;;;;;;;;;
72;72;2018-11-03;ARAPIRACA, AL;1.000.000,00;885.509,44;2.753,71;20,00;4,00;2,00;1;66;2.687;35.700;117.886;1;2;6;8;9;18;21;4;;;;;;;;;;;
73;73;2018-11-06;SÃO PAULO, SP;400.000,00;516.068,26;1.974,75;20,00;4,00;2,00;1;112;3.758;47.840;163.845;8;9;10;11;14;18;23;8;;;;;;;;;;;
74;74;2018-11-08;SÃO PAULO, SP;500.000,00;88.563,10;684,91;20,00;4,00;2,00;6;475;5.363;53.734;121.852;6;12;15;17;20;23;29;6;;;;;;;;;;;
75;75;2018-11-10;MANHUMIRIM, MG;500.000,00;0,00;1.630,00;20,00;4,00;2,00;0;135;4.086;48.891;123.949;2;3;6;14;28;30;31;1;;;;;;;;;;;
76;76;2018-11-13;SÃO PAULO, SP;1.000.000,00;1.081.636,58;3.634,45;20,00;4,00;2,00;1;67;3.059;43.408;220.730;10;15;16;21;25;26;29;10;;;;;;;;;;;
77;77;2018-11-17;NAZARÉ PAULISTA, SP;500.000,00;505.506,51;1.775,79;20,00;4,00;2,00;1;122;4.796;58.593;238.370;6;7;11;12;14;19;21;9;;;;;;;;;;;
78;78;2018-11-20;SÃO PAULO, SP;500.000,00;0,00;1.579,47;20,00;4,00;2,00;0;99;3.503;44.290;157.153;4;6;8;13;14;19;23;10;;;;;;;;;;;
79;79;2018-11-22;SÃO PAULO, SP;1.000.000,00;0,00;1.869,20;20,00;4,00;2,00;0;108;3.959;49.131;211.026;1;8;10;12;15;21;28;9;;;;;;;;;;;
80;80;2018-11-24;CAMPOS BELOS, GO;1.300.000,00;1.383.422,53;2.172,73;20,00;4,00;2,00;1;108;3.551;50.667;118.659;2;3;4;10;18;19;28;6;;;;;;;;;;;
81;81;2018-11-27;SÃO PAULO, SP;450.000,00;0,00;2.857,79;20,00;4,00;2,00;0;68;3.431;44.661;128.431;6;10;12;25;26;27;29;2;;;;;;;;;;;
82;82;2018-11-29;SÃO PAULO, SP;850.000,00;943.939,46;1.655,25;20,00;4,00;2,00;1;127;4.260;52.495;151.072;2;9;10;13;16;17;22;4;;;;;;;;;;;
83;83;2018-12-01;CURITIBA, PR;500.000,00;0,00;2.197,88;20,00;4,00;2,00;0;93;3.518;44.887;136.136;2;9;10;13;15;21;26;5;;;;;;;;;;;
84;84;2018-12-04;SÃO PAULO, SP;900.000,00;0,00;2.703,39;20,00;4,00;2,00;0;84;4.092;56.292;139.533;7;10;15;16;18;19;24;5;;;;;;;;;;;
85;85;2018-12-06;SÃO PAULO, SP;1.500.000,00;1.643.411,08;3.497,84;20,00;4,00;2,00;1;78;3.316;47.769;139.102;3;7;21;22;23;26;31;6;;;;;;;;;;;
86;86;2018-12-08;SANTO ANASTÁCIO, SP;400.000,00;442.177,03;2.105,60;20,00;4,00;2,00;1;90;3.766;47.062;129.440;3;6;8;9;11;19;26;2;;;;;;;;;;;
87;87;2018-12-11;SÃO PAULO, SP;400.000,00;0,00;1.983,20;20,00;4,00;2,00;0;102;3.827;48.330;120.420;7;9;10;15;18;21;22;1;;;;;;;;;;;
88;88;2018-12-13;SÃO PAULO, SP;1.000.000,00;977.117,81;1.396,63;20,00;4,00;2,00;1;155;4.761;57.503;137.562;3;4;17;18;19;23;27;5;;;;;;;;;;;
89;89;2018-12-15;CRICIÚMA, SC;450.000,00;466.022,51;2.147,57;20,00;4,00;2,00;1;93;3.469;44.834;100.289;3;6;16;18;19;24;31;7;;;;;;;;;;;
90;90;2018-12-18;SÃO PAULO, SP;350.000,00;215.588,65;2.174,00;20,00;4,00;2,00;2;85;4.056;43.403;114.964;1;5;6;8;12;23;26;5;;;;;;;;;;;
91;91;2018-12-20;SÃO PAULO, SP;400.000,00;0,00;1.667,44;20,00;4,00;2,00;0;104;3.614;43.915;121.942;8;10;15;16;23;28;29;4;;;;;;;;;;;
92;92;2018-12-22;CONSELHEIRO PENA, MG;800.000,00;0,00;2.399,48;20,00;4,00;2,00;0;77;3.562;48.140;161.074;5;7;8;9;15;26;29;12;;;;;;;;;;;
93;93;2018-12-27;SÃO PAULO, SP;1.300.000,00;1.407.955,01;2.428,08;20,00;4,00;2,00;1;101;3.466;47.521;171.202;1;8;9;16;21;23;30;8;;;;;;;;;;;
94;94;2018-12-29;PALMITOS, SC;400.000,00;302.989,62;981,50;20,00;4,00;2,00;1;189;4.795;49.480;161.479;7;10;13;15;19;23;26;9;;;;;;;;;;;
95;95;2019-01-03;SÃO PAULO, SP;400.000,00;494.729,65;2.279,86;20,00;4,00;2,00;1;93;4.120;52.558;106.266;5;7;8;18;20;23;28;7;;;;;;;;;;;
96;96;2019-01-05;CAIBI, SC;400.000,00;101.981,46;1.551,24;20,00;4,00;2,00;4;161;4.691;49.225;119.402;3;4;9;15;17;28;29;5;;;;;;;;;;;
97;97;2019-01-08;SÃO PAULO, SP;400.000,00;0,00;3.332,96;20,00;4,00;2,00;0;58;2.701;38.939;127.223;1;10;12;22;23;25;28;11;;;;;;;;;;;
98;98;2019-01-10;SÃO PAULO, SP;850.000,00;0,00;2.721,88;20,00;4,00;2,00;0;67;3.505;47.875;195.495;1;3;7;12;26;27;28;9;;;;;;;;;;;
99;99;2019-01-12;SÃO PAULO, SP;1.300.000,00;0,00;3.243,00;20,00;4,00;2,00;0;70;2.925;41.428;171.730;4;14;20;27;28;29;30;3;;;;;;;;;;;
100;100;2019-01-15;SÃO PAULO, SP;1.850.000,00;0,00;2.068,22;20,00;4,00;2,00;0;120;4.246;54.218;163.378;3;4;8;15;16;20;21;5;;;;;;;;;;;
101;101;2019-01-17;SÃO PAULO, SP;2.500.000,00;0,00;2.179,00;20,00;4,00;2,00;0;123;4.484;59.008;163.139;4;5;9;13;19;20;29;12;;;;;;;;;;;
102;102;2019-01-19;PIRATUBA, SC;3.200.000,00;810.651,70;1.239,91;20,00;4,00;2,00;4;312;7.242;73.447;182.179;4;7;10;19;22;26;28;5;;;;;;;;;;;
103;103;2019-01-22;SÃO PAULO, SP;450.000,00;0,00;3.136,38;20,00;4,00;2,00;0;59;2.615;37.379;133.591;4;5;19;23;25;26;31;1;;;;;;;;;;;
104;104;2019-01-24;SÃO PAULO, SP;800.000,00;0,00;3.178,16;20,00;4,00;2,00;0;65;2.462;36.285;117.413;3;13;20;25;26;27;30;12;;;;;;;;;;;
105;105;2019-01-26;QUIRINÓPOLIS, GO;1.300.000,00;1.360.637,87;1.731,50;20,00;4,00;2,00;1;158;4.836;53.746;149.062;3;7;8;12;21;24;29;8;;;;;;;;;;;
106;106;2019-01-29;SAO PAULO, SP;400.000,00;0,00;1.605,97;20,00;4,00;2,00;0;106;3.560;41.352;99.291;5;8;17;20;25;26;28;12;;;;;;;;;;;
107;107;2019-01-31;SÃO PAULO, SP;500.000,00;806.708,24;1.576,81;20,00;4,00;2,00;1;159;4.949;53.354;100.605;4;7;13;15;18;20;23;6;;;;;;;;;;;
108;108;2019-02-02;GUARACIABA, SC;400.000,00;0,00;1.979,90;20,00;4,00;2,00;0;89;3.236;38.575;112.899;2;6;15;17;22;24;25;11;;;;;;;;;;;
109;109;2019-02-05;SÃO PAULO, SP;750.000,00;895.120,76;1.975,36;20,00;4,00;2,00;1;105;3.780;47.791;103.514;3;18;20;23;24;26;28;7;;;;;;;;;;;
110;110;2019-02-07;SÃO PAULO, SP;400.000,00;0,00;1.944,37;20,00;4,00;2,00;0;91;3.544;43.619;144.763;4;8;10;11;14;18;26;3;;;;;;;;;;;
111;111;2019-02-09;SÃO PAULO, SP;800.000,00;0,00;2.207,94;20,00;4,00;2,00;0;87;3.264;41.552;167.787;1;6;8;14;17;21;26;2;;;;;;;;;;;
112;112;2019-02-12;SÃO PAULO, SP;1.300.000,00;0,00;3.079,44;20,00;4,00;2,00;0;82;3.711;47.497;143.447;11;13;18;21;24;25;26;12;;;;;;;;;;;
113;113;2019-02-14;SÃO PAULO, SP;1.800.000,00;2.025.538,46;2.393,65;20,00;4,00;2,00;1;103;4.862;63.504;184.128;6;9;10;12;17;27;30;5;;;;;;;;;;;
114;114;2019-02-16;SÃO PAULO, SP;350.000,00;0,00;2.237,03;20,00;4,00;2,00;0;79;3.340;41.202;113.008;7;8;9;23;26;29;31;11;;;;;;;;;;;
115;115;2019-02-19;SÃO PAULO, SP;750.000,00;836.057,06;2.040,28;20,00;4,00;2,00;1;89;3.446;46.212;154.659;7;8;13;16;18;21;22;2;;;;;;;;;;;
116;116;2019-02-21;SÃO PAULO, SP;400.000,00;121.040,99;1.533,24;20,00;4,00;2,00;3;145;3.694;41.562;134.401;2;5;12;16;18;24;30;3;;;;;;;;;;;
117;117;2019-02-23;JUNDIAÍ, SP;350.000,00;114.178,75;1.565,04;20,00;4,00;2,00;3;134;4.081;44.073;140.864;5;7;9;16;18;20;27;10;;;;;;;;;;;
118;118;2019-02-26;SÃO PAULO, SP;350.000,00;0,00;1.741,71;20,00;4,00;2,00;0;123;3.627;40.847;135.592;2;5;7;9;15;22;30;10;;;;;;;;;;;
119;119;2019-02-28;SÃO PAULO, SP;700.000,00;378.517,91;1.710,61;20,00;4,00;2,00;2;102;3.714;45.883;117.607;2;3;6;12;24;25;28;11;;;;;;;;;;;
120;120;2019-03-02;VIDEIRA, SC;350.000,00;0,00;2.889,67;20,00;4,00;2,00;0;56;2.761;35.666;122.213;2;8;16;21;22;27;28;2;;;;;;;;;;;
121;121;2019-03-07;SÃO PAULO, SP;700.000,00;0,00;2.486,80;20,00;4,00;2,00;0;83;3.472;47.024;102.338;3;9;10;12;14;19;24;7;;;;;;;;;;;
122;122;2019-03-09;ITUPEVA, SP;1.200.000,00;0,00;3.184,15;20,00;4,00;2,00;0;69;2.827;36.949;164.149;12;13;14;15;16;23;31;4;;;;;;;;;;;
123;123;2019-03-12;SÃO PAULO, SP;1.800.000,00;1.965.021,39;1.897,16;20,00;4,00;2,00;1;134;3.885;53.100;177.699;6;11;16;18;19;21;23;8;;;;;;;;;;;
124;124;2019-03-14;SÃO PAULO, SP;400.000,00;0,00;3.026,17;20,00;4,00;2,00;0;61;2.666;35.712;116.190;12;15;20;21;22;24;27;11;;;;;;;;;;;
125;125;2019-03-16;ITUPEVA, SP;800.000,00;0,00;1.975,59;20,00;4,00;2,00;0;97;3.593;44.139;122.703;1;8;12;13;17;26;30;12;;;;;;;;;;;
126;126;2019-03-19;SÃO PAULO, SP;1.200.000,00;0,00;1.557,55;20,00;4,00;2,00;0;132;3.877;47.590;144.503;9;11;14;18;24;27;29;8;;;;;;;;;;;
127;127;2019-03-21;SÃO PAULO, SP;1.800.000,00;1.882.230,10;2.161,97;20,00;4,00;2,00;1;104;3.886;50.706;172.381;1;5;7;9;17;21;22;5;;;;;;;;;;;
128;128;2019-03-23;CRAVINHOS, SP;400.000,00;371.743,38;1.561,95;20,00;4,00;2,00;1;102;3.420;40.927;112.933;2;7;8;15;19;20;22;5;;;;;;;;;;;
129;129;2019-03-26;SÃO PAULO, SP;350.000,00;344.359,52;1.570,03;20,00;4,00;2,00;1;94;2.707;37.454;130.716;6;12;13;15;16;28;29;10;;;;;;;;;;;
130;130;2019-03-28;SÃO PAULO, SP;400.000,00;0,00;1.566,80;20,00;4,00;2,00;0;139;3.966;38.821;93.346;5;8;10;20;23;25;28;1;;;;;;;;;;;
131;131;2019-03-30;PANCAS, ES;700.000,00;750.521,74;1.781,08;20,00;4,00;2,00;1;95;2.984;38.024;156.694;4;5;11;22;26;27;30;3;;;;;;;;;;;
132;132;2019-04-02;SÃO PAULO, SP;400.000,00;359.936,39;1.656,91;20,00;4,00;2,00;1;133;3.988;44.185;137.716;3;11;14;18;19;23;26;10;;;;;;;;;;;
133;133;2019-04-04;SÃO PAULO, SP;350.000,00;386.090,21;3.064,21;20,00;4,00;2,00;1;54;2.547;33.769;131.272;1;4;8;10;20;22;31;3;;;;;;;;;;;
134;134;2019-04-06;SÃO PAULO, SP;350.000,00;379.211,96;2.196,21;20,00;4,00;2,00;1;74;3.057;37.555;119.323;1;2;8;10;14;16;18;5;;;;;;;;;;;
135;135;2019-04-09;SÃO PAULO, SP;350.000,00;0,00;2.908,17;20,00;4,00;2,00;0;59;2.663;36.546;93.663;2;5;6;11;25;27;28;1;;;;;;;;;;;
136;136;2019-04-11;SÃO PAULO, SP;700.000,00;0,00;3.066,98;20,00;4,00;2,00;0;60;2.588;36.077;141.724;17;19;20;21;23;27;30;3;;;;;;;;;;;
137;137;2019-04-13;BOTUCATU, SP;1.200.000,00;1.262.971,35;1.687,94;20,00;4,00;2,00;1;110;4.515;53.079;120.049;3;5;6;8;16;19;28;12;;;;;;;;;;;
138;138;2019-04-16;SÃO PAULO, SP;400.000,00;376.599,19;1.441,06;20,00;4,00;2,00;1;160;4.029;42.396;94.336;9;13;15;17;21;27;29;6;;;;;;;;;;;
139;139;2019-04-18;SÃO PAULO, SP;350.000,00;0,00;2.740,39;20,00;4,00;2,00;0;60;2.821;38.826;85.262;3;4;11;13;18;19;22;7;;;;;;;;;;;
140;140;2019-04-20;NOVA PETRÓPOLIS, RS;700.000,00;626.624,39;1.407,17;20,00;4,00;2,00;1;74;2.465;29.827;86.767;5;8;9;12;14;17;22;3;;;;;;;;;;;
