idduplasena;dsconc;dsdata;dslocal;dspremioest;ds01pr06;ds01pr05;ds01pr04;ds01pr03;ds02pr06;ds02pr05;ds02pr04;ds02pr03;ds01gan06;ds01gan05;ds01gan04;ds01gan03;ds02gan06;ds02gan05;ds02gan04;ds02gan03;ds01d01;ds01d02;ds01d03;ds01d04;ds01d05;ds01d06;ds02d01;ds02d02;ds02d03;ds02d04;ds02d05;ds02d06;dscidadesgan
623;623;2008-01-11;SÃO PAULO, SP;1.000.000,00;0,00;0,00;0,00;0,00;0,00;4.797,06;99,94;0,00;0;0;0;0;0;22;1.056;0;10;13;26;33;45;46;16;18;26;27;41;43;
624;624;2008-01-15;SÃO PAULO, SP;1.200.000,00;0,00;0,00;0,00;0,00;0,00;2.216,76;67,04;0,00;0;0;0;0;0;43;1.422;0;6;24;30;33;37;41;10;19;20;38;49;50;
625;625;2008-01-18;SÃO PAULO, SP;1.400.000,00;0,00;0,00;0,00;0,00;167.476,19;4.652,12;83,38;0,00;0;0;0;0;1;24;1.339;0;3;21;22;38;42;43;1;5;18;34;37;40;
626;626;2008-01-22;SÃO PAULO, SP;300.000,00;686.145,53;0,00;0,00;0,00;0,00;1.989,29;55,55;0,00;2;0;0;0;0;53;1.898;0;4;8;14;15;19;45;5;11;19;21;42;44;
627;627;2008-01-25;SÃO PAULO, SP;120.000,00;143.392,10;0,00;0,00;0,00;128.636,25;4.764,31;86,01;0,00;2;0;0;0;1;18;997;0;5;6;11;13;20;33;2;18;27;34;38;44;
628;628;2008-01-29;SÃO PAULO, SP;350.000,00;0,00;0,00;0,00;0,00;0,00;4.192,47;88,10;0,00;0;0;0;0;0;17;809;0;1;2;14;24;27;32;6;25;31;36;41;48;
629;629;2008-02-01;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;0,00;3.812,51;60,10;0,00;0;0;0;0;0;23;1.459;0;20;30;32;38;46;49;8;11;12;25;34;37;
630;630;2008-02-08;SÃO PAULO, SP;900.000,00;0,00;0,00;0,00;0,00;0,00;7.116,44;79,64;0,00;0;0;0;0;0;14;1.251;0;1;4;16;19;27;42;4;10;25;32;35;37;
631;631;2008-02-12;SÃO PAULO, SP;1.200.000,00;0,00;0,00;0,00;0,00;0,00;6.669,55;86,53;0,00;0;0;0;0;0;13;1.002;0;1;19;27;30;36;47;1;7;25;29;30;38;
632;632;2008-02-15;SÃO PAULO, SP;1.500.000,00;0,00;0,00;0,00;0,00;0,00;3.156,38;67,67;0,00;0;0;0;0;0;34;1.586;0;5;7;9;21;38;40;5;17;20;22;31;45;
633;633;2008-02-19;SÃO PAULO, SP;1.800.000,00;0,00;0,00;0,00;0,00;0,00;4.379,08;72,06;0,00;0;0;0;0;0;22;1.337;0;2;8;16;17;34;49;8;15;16;31;34;50;
634;634;2008-02-22;SÃO PAULO, SP;2.200.000,00;0,00;0,00;0,00;0,00;0,00;7.280,56;88,00;0,00;0;0;0;0;0;15;1.241;0;29;31;33;42;47;48;8;22;32;38;39;49;
635;635;2008-02-26;SÃO PAULO, SP;2.500.000,00;0,00;0,00;0,00;0,00;0,00;6.435,56;80,39;0,00;0;0;0;0;0;16;1.281;0;8;9;10;17;20;42;10;14;29;36;44;46;
636;636;2008-02-29;SÃO PAULO, SP;2.900.000,00;0,00;0,00;0,00;0,00;0,00;7.946,85;74,68;0,00;0;0;0;0;0;17;1.809;0;10;26;30;32;37;43;18;39;41;42;45;47;
637;637;2008-03-04;SÃO PAULO, SP;3.300.000,00;0,00;0,00;0,00;0,00;0,00;6.988,78;85,05;0,00;0;0;0;0;0;18;1.479;0;7;9;14;31;39;43;2;6;27;39;40;43;
638;638;2008-03-07;SÃO PAULO, SP;3.500.000,00;0,00;0,00;0,00;0,00;211.150,85;4.854,04;86,95;0,00;0;0;0;0;1;29;1.619;0;7;29;35;44;45;50;9;10;21;22;30;46;
639;639;2008-03-11;SÃO PAULO, SP;3.700.000,00;0,00;0,00;0,00;0,00;195.738,02;2.965,73;60,55;0,00;0;0;0;0;1;44;2.155;0;4;6;7;12;32;33;1;3;7;15;35;45;
640;640;2008-03-14;SÃO PAULO, SP;4.000.000,00;0,00;0,00;0,00;0,00;0,00;2.003,05;59,92;0,00;0;0;0;0;0;70;2.340;0;3;13;15;18;19;30;22;23;28;42;44;46;
641;641;2008-03-18;SÃO PAULO, SP;4.500.000,00;0,00;0,00;0,00;0,00;0,00;3.766,32;69,64;0,00;0;0;0;0;0;36;1.947;0;21;31;32;36;38;40;8;11;12;28;32;43;
642;642;2008-03-25;SÃO PAULO, SP;5.100.000,00;0,00;0,00;0,00;0,00;0,00;2.860,11;61,77;0,00;0;0;0;0;0;62;2.871;0;3;7;10;13;36;38;15;25;27;32;37;45;
643;643;2008-03-28;SÃO PAULO, SP;5.700.000,00;0,00;0,00;0,00;0,00;0,00;2.555,73;49,50;0,00;0;0;0;0;0;70;3.614;0;7;9;14;16;29;41;5;6;19;23;46;49;
644;644;2008-04-01;SÃO PAULO, SP;400.000,00;1.413.914,33;0,00;0,00;0,00;0,00;4.443,65;79,75;0,00;4;0;0;0;0;43;2.396;0;4;11;13;23;35;49;20;22;24;30;44;48;
645;645;2008-04-04;SÃO PAULO, SP;700.000,00;0,00;0,00;0,00;0,00;0,00;3.771,67;64,01;0,00;0;0;0;0;0;25;1.473;0;10;35;36;42;43;50;3;12;33;38;42;44;
646;646;2008-04-08;SÃO PAULO, SP;1.000.000,00;0,00;0,00;0,00;0,00;0,00;5.813,56;92,38;0,00;0;0;0;0;0;15;944;0;2;10;30;31;46;47;2;22;29;32;34;43;
647;647;2008-04-11;SÃO PAULO, SP;1.300.000,00;0,00;0,00;0,00;0,00;0,00;9.294,39;81,14;0,00;0;0;0;0;0;11;1.260;0;1;18;20;32;35;49;19;29;35;38;42;50;
648;648;2008-04-15;SÃO PAULO, SP;1.500.000,00;0,00;0,00;0,00;0,00;0,00;3.268,71;71,65;0,00;0;0;0;0;0;29;1.323;0;5;6;10;14;24;48;2;25;37;39;46;49;
649;649;2008-04-18;SÃO PAULO, SP;1.900.000,00;0,00;0,00;0,00;0,00;0,00;6.674,82;109,65;0,00;0;0;0;0;0;16;974;0;1;10;11;14;27;40;16;20;24;34;40;45;
650;650;2008-04-22;SÃO PAULO, SP;2.150.000,00;0,00;0,00;0,00;0,00;0,00;2.157,00;56,30;0,00;0;0;0;0;0;38;1.456;0;7;12;16;20;40;43;9;17;23;37;38;44;
651;651;2008-04-25;SÃO PAULO, SP;2.500.000,00;0,00;0,00;0,00;0,00;0,00;1.946,47;52,27;0,00;0;0;0;0;0;63;2.346;0;18;23;30;32;41;42;5;7;17;32;35;47;
652;652;2008-04-29;SÃO PAULO, SP;300.000,00;2.518.710,34;0,00;0,00;0,00;0,00;5.153,82;75,37;0,00;1;0;0;0;0;21;1.436;0;4;17;26;33;42;48;5;23;26;31;36;42;
653;653;2008-05-02;SÃO PAULO, SP;500.000,00;0,00;0,00;0,00;0,00;0,00;11.882,47;82,61;0,00;0;0;0;0;0;6;863;0;8;11;16;30;42;48;12;18;20;26;31;42;
654;654;2008-05-06;SÃO PAULO, SP;240.000,00;495.720,26;0,00;0,00;0,00;0,00;3.463,50;63,17;0,00;1;0;0;0;0;23;1.261;0;8;11;12;25;37;44;7;23;34;35;44;47;
655;655;2008-05-09;SÃO PAULO, SP;500.000,00;0,00;0,00;0,00;0,00;0,00;3.912,98;77,45;0,00;0;0;0;0;0;21;1.061;0;1;2;4;8;16;33;4;14;25;39;45;50;
656;656;2008-05-13;SÃO PAULO, SP;230.000,00;480.294,85;0,00;0,00;0,00;0,00;4.761,94;57,94;0,00;1;0;0;0;0;16;1.315;0;6;15;28;34;43;47;12;17;22;24;32;45;
657;657;2008-05-16;SÃO PAULO, SP;500.000,00;0,00;0,00;0,00;0,00;0,00;4.413,43;65,55;0,00;0;0;0;0;0;18;1.212;0;9;20;21;34;39;50;8;10;18;42;44;48;
658;658;2008-05-20;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;57.461,56;2.641,91;47,09;0,00;0;0;0;0;2;29;1.627;0;15;28;30;32;47;50;9;13;25;39;43;48;
659;659;2008-05-23;SÃO PAULO, SP;800.000,00;0,00;0,00;0,00;0,00;0,00;4.267,87;70,99;0,00;0;0;0;0;0;17;1.022;0;14;20;25;36;43;44;18;23;36;38;45;50;
660;660;2008-05-27;SÃO PAULO, SP;1.100.000,00;0,00;0,00;0,00;0,00;0,00;5.502,32;75,52;0,00;0;0;0;0;0;14;1.020;0;3;13;25;33;41;47;2;3;4;22;28;43;
661;661;2008-05-30;SÃO PAULO, SP;1.400.000,00;0,00;0,00;0,00;0,00;0,00;4.301,07;68,07;0,00;0;0;0;0;0;22;1.390;0;4;7;17;19;24;46;1;6;7;15;30;48;
662;662;2008-06-03;SÃO PAULO, SP;1.700.000,00;0,00;0,00;0,00;0,00;0,00;5.099,06;73,06;0,00;0;0;0;0;0;20;1.396;0;2;14;27;28;33;48;6;27;38;46;47;49;
663;663;2008-06-06;SÃO PAULO, SP;1.900.000,00;0,00;0,00;0,00;0,00;179.243,46;2.060,27;55,66;0,00;0;0;0;0;1;58;2.147;0;4;21;31;37;44;45;7;13;28;34;41;50;
664;664;2008-06-10;SÃO PAULO, SP;2.200.000,00;0,00;0,00;0,00;0,00;0,00;2.920,26;69,44;0,00;0;0;0;0;0;38;1.598;0;1;2;23;27;38;42;6;9;17;33;34;37;
665;665;2008-06-13;SÃO PAULO, SP;2.600.000,00;0,00;0,00;0,00;0,00;0,00;2.218,93;56,13;0,00;0;0;0;0;0;62;2.451;0;1;9;14;23;27;29;3;7;18;24;30;42;
666;666;2008-06-17;SÃO PAULO, SP;3.000.000,00;0,00;0,00;0,00;0,00;0,00;2.888,36;66,99;0,00;0;0;0;0;0;44;1.897;0;4;10;13;28;29;47;2;13;31;36;38;45;
667;667;2008-06-20;SÃO PAULO, SP;3.500.000,00;0,00;0,00;0,00;0,00;0,00;4.666,63;78,68;0,00;0;0;0;0;0;29;1.720;0;14;24;25;34;36;38;4;8;32;33;34;50;
668;668;2008-06-24;SÃO PAULO, SP;3.800.000,00;0,00;0,00;0,00;0,00;0,00;3.482,18;65,63;0,00;0;0;0;0;0;35;1.857;0;1;7;19;26;28;35;6;13;35;41;44;50;
669;669;2008-06-27;SÃO PAULO, SP;350.000,00;3.803.972,63;0,00;0,00;0,00;0,00;6.669,79;78,17;0,00;1;0;0;0;0;22;1.877;0;16;23;30;33;42;43;2;22;34;36;37;47;
670;670;2008-07-01;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;0,00;3.007,80;48,54;0,00;0;0;0;0;0;27;1.673;0;7;10;29;32;43;44;1;9;12;16;19;23;
671;671;2008-07-04;SÃO PAULO, SP;900.000,00;0,00;0,00;0,00;0,00;0,00;4.578,71;96,39;0,00;0;0;0;0;0;22;1.045;0;1;14;32;34;39;46;1;6;21;25;37;40;
672;672;2008-07-08;SÃO PAULO, SP;1.200.000,00;0,00;0,00;0,00;0,00;0,00;4.785,42;85,22;0,00;0;0;0;0;0;19;1.067;0;10;15;19;32;39;41;9;21;29;35;39;42;
673;673;2008-07-11;SÃO PAULO, SP;1.500.000,00;0,00;0,00;0,00;0,00;0,00;4.646,10;72,59;0,00;0;0;0;0;0;23;1.472;0;6;16;32;33;43;47;12;13;16;37;43;50;
674;674;2008-07-15;SÃO PAULO, SP;1.800.000,00;0,00;0,00;0,00;0,00;0,00;5.935,19;65,52;0,00;0;0;0;0;0;17;1.540;0;5;7;21;34;39;45;2;3;8;35;36;49;
675;675;2008-07-18;SÃO PAULO, SP;2.200.000,00;0,00;0,00;0,00;0,00;0,00;7.528,16;65,62;0,00;0;0;0;0;0;15;1.721;0;6;17;25;30;34;37;2;15;16;17;19;44;
676;676;2008-07-22;SÃO PAULO, SP;2.500.000,00;0,00;0,00;0,00;0,00;0,00;2.117,69;55,90;0,00;0;0;0;0;0;51;1.932;0;17;33;34;39;43;45;7;22;23;34;37;49;
677;677;2008-07-25;SÃO PAULO, SP;2.900.000,00;0,00;0,00;0,00;0,00;0,00;5.684,89;81,49;0,00;0;0;0;0;0;21;1.465;0;3;9;15;20;41;45;6;12;17;31;42;45;
678;678;2008-07-29;SÃO PAULO, SP;3.300.000,00;0,00;0,00;0,00;0,00;0,00;6.352,48;68,00;0,00;0;0;0;0;0;21;1.962;0;1;4;26;28;36;46;2;4;7;18;30;42;
679;679;2008-08-01;SÃO PAULO, SP;350.000,00;3.322.757,63;0,00;0,00;0,00;0,00;4.204,49;54,07;0,00;1;0;0;0;0;38;2.955;0;5;10;18;21;44;49;5;10;13;22;24;46;
680;680;2008-08-05;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;0,00;4.123,14;64,04;0,00;0;0;0;0;0;21;1.352;0;1;19;34;36;39;45;10;30;32;37;40;50;
681;681;2008-08-08;SÃO PAULO, SP;1.000.000,00;0,00;0,00;0,00;0,00;0,00;5.722,34;83,88;0,00;0;0;0;0;0;18;1.228;0;2;7;23;32;35;36;1;7;18;22;32;45;
682;682;2008-08-12;SÃO PAULO, SP;1.300.000,00;0,00;0,00;0,00;0,00;0,00;2.037,27;48,84;0,00;0;0;0;0;0;45;1.877;0;27;28;33;36;41;50;7;11;13;22;36;48;
683;683;2008-08-15;SÃO PAULO, SP;1.500.000,00;0,00;0,00;0,00;0,00;0,00;2.960,37;66,53;0,00;0;0;0;0;0;34;1.513;0;3;12;19;42;47;50;8;10;19;32;44;48;
684;684;2008-08-19;SÃO PAULO, SP;1.800.000,00;0,00;0,00;0,00;0,00;0,00;7.151,67;98,35;0,00;0;0;0;0;0;14;1.018;0;2;6;12;20;38;48;11;19;29;34;40;50;
685;685;2008-08-22;SÃO PAULO, SP;2.300.000,00;0,00;0,00;0,00;0,00;0,00;2.895,50;72,89;0,00;0;0;0;0;0;40;1.589;0;3;6;10;22;35;36;6;11;23;36;39;49;
686;686;2008-08-26;SÃO PAULO, SP;2.400.000,00;0,00;0,00;0,00;0,00;158.370,75;2.246,40;57,92;0,00;0;0;0;0;1;47;1.823;0;5;16;21;27;38;46;1;2;7;12;16;26;
687;687;2008-08-29;SÃO PAULO, SP;2.700.000,00;0,00;0,00;0,00;0,00;0,00;5.679,25;64,22;0,00;0;0;0;0;0;21;1.857;0;6;7;12;21;34;45;4;5;9;10;17;40;
688;688;2008-09-02;SÃO PAULO, SP;3.100.000,00;0,00;0,00;0,00;0,00;0,00;3.314,07;57,25;0,00;0;0;0;0;0;35;2.026;0;3;12;22;32;33;48;1;3;6;11;25;32;
689;689;2008-09-05;SÃO PAULO, SP;3.500.000,00;0,00;0,00;0,00;0,00;0,00;3.347,20;68,35;0,00;0;0;0;0;0;39;1.910;0;6;19;37;38;41;42;9;10;17;31;33;50;
690;690;2008-09-09;SÃO PAULO, SP;3.900.000,00;0,00;0,00;0,00;0,00;0,00;1.969,93;63,73;0,00;0;0;0;0;0;67;2.071;0;8;26;34;35;44;50;9;16;17;23;37;41;
691;691;2008-09-12;SÃO PAULO, SP;4.500.000,00;0,00;0,00;0,00;0,00;0,00;4.243,58;76,12;0,00;0;0;0;0;0;40;2.230;0;19;24;29;38;46;47;11;13;21;29;42;50;
692;692;2008-09-16;SÃO PAULO, SP;5.000.000,00;0,00;0,00;0,00;0,00;0,00;3.473,86;72,37;0,00;0;0;0;0;0;45;2.160;0;2;8;30;31;37;40;13;14;27;29;30;35;
693;693;2008-09-19;SÃO PAULO, SP;5.500.000,00;0,00;0,00;0,00;0,00;0,00;5.016,88;85,59;0,00;0;0;0;0;0;39;2.286;0;4;10;24;28;29;32;3;5;18;20;32;40;
694;694;2008-09-23;SÃO PAULO, SP;6.200.000,00;0,00;0,00;0,00;0,00;0,00;3.691,76;67,67;0,00;0;0;0;0;0;54;2.946;0;1;9;15;27;28;29;6;19;22;36;39;50;
695;695;2008-09-26;SÃO PAULO, SP;7.000.000,00;0,00;0,00;0,00;0,00;0,00;3.903,97;61,58;0,00;0;0;0;0;0;61;3.867;0;1;8;10;17;18;37;3;23;25;30;37;48;
696;696;2008-09-30;SÃO PAULO, SP;7.500.000,00;0,00;0,00;0,00;0,00;0,00;2.539,65;66,08;0,00;0;0;0;0;0;93;3.574;0;3;9;20;26;37;43;5;17;20;44;49;50;
697;697;2008-10-03;SÃO PAULO, SP;8.500.000,00;0,00;0,00;0,00;0,00;0,00;4.228,47;84,38;0,00;0;0;0;0;0;61;3.057;0;3;12;18;20;24;29;5;12;20;30;35;38;
698;698;2008-10-07;SÃO PAULO, SP;500.000,00;8.417.995,80;0,00;0,00;0,00;0,00;4.010,77;64,36;0,00;1;0;0;0;0;62;3.864;0;2;7;15;27;46;49;6;11;17;19;22;40;
699;699;2008-10-10;SÃO PAULO, SP;900.000,00;0,00;0,00;0,00;0,00;0,00;5.214,14;74,92;0,00;0;0;0;0;0;20;1.392;0;2;9;13;18;31;41;5;6;27;33;40;47;
700;700;2008-10-14;SÃO PAULO, SP;300.000,00;826.189,97;0,00;0,00;0,00;0,00;7.796,70;85,68;0,00;1;0;0;0;0;12;1.092;0;5;18;24;39;41;47;1;3;27;31;36;47;
701;701;2008-10-17;SÃO PAULO, SP;400.000,00;0,00;0,00;0,00;0,00;143.881,01;2.906,69;49,24;0,00;0;0;0;0;1;33;1.948;0;3;10;12;16;33;46;2;5;6;13;18;44;
702;702;2008-10-21;SÃO PAULO, SP;700.000,00;0,00;0,00;0,00;0,00;0,00;3.573,17;52,25;0,00;0;0;0;0;0;23;1.573;0;7;16;18;29;31;44;4;9;10;13;24;36;
703;703;2008-10-24;SÃO PAULO, SP;1.000.000,00;0,00;0,00;0,00;0,00;0,00;6.006,38;85,50;0,00;0;0;0;0;0;16;1.124;0;2;6;10;12;42;44;3;11;40;45;48;50;
704;704;2008-10-28;SÃO PAULO, SP;1.300.000,00;0,00;0,00;0,00;0,00;0,00;3.880,83;77,74;0,00;0;0;0;0;0;25;1.248;0;3;8;30;45;49;50;7;8;28;41;42;44;
705;705;2008-10-31;SÃO PAULO, SP;1.700.000,00;0,00;0,00;0,00;0,00;0,00;2.962,64;65,10;0,00;0;0;0;0;0;39;1.775;0;3;5;7;30;31;32;5;11;15;27;38;48;
706;706;2008-11-04;SÃO PAULO, SP;2.000.000,00;0,00;0,00;0,00;0,00;0,00;2.969,86;60,58;0,00;0;0;0;0;0;37;1.814;0;3;6;7;17;34;44;2;3;11;19;29;42;
707;707;2008-11-07;SÃO PAULO, SP;2.400.000,00;0,00;0,00;0,00;0,00;0,00;3.188,69;71,38;0,00;0;0;0;0;0;40;1.787;0;1;5;15;16;36;39;2;4;9;36;37;41;
708;708;2008-11-11;SÃO PAULO, SP;2.600.000,00;0,00;0,00;0,00;0,00;179.561,92;1.870,44;40,50;0,00;0;0;0;0;1;64;2.956;0;16;20;25;27;33;34;2;8;9;11;19;44;
709;709;2008-11-14;SÃO PAULO, SP;3.000.000,00;0,00;0,00;0,00;0,00;0,00;9.449,49;66,08;0,00;0;0;0;0;0;15;2.145;0;3;12;17;25;34;36;14;15;42;45;49;50;
710;710;2008-11-18;SÃO PAULO, SP;3.400.000,00;0,00;0,00;0,00;0,00;0,00;2.938,63;70,66;0,00;0;0;0;0;0;44;1.830;0;3;18;25;32;36;40;5;16;25;30;32;45;
711;711;2008-11-21;SÃO PAULO, SP;3.800.000,00;0,00;0,00;0,00;0,00;0,00;2.552,33;69,33;0,00;0;0;0;0;0;60;2.209;0;1;15;29;33;47;48;4;5;8;15;40;50;
712;712;2008-11-25;SÃO PAULO, SP;4.100.000,00;0,00;0,00;0,00;0,00;217.472,11;2.636,03;50,29;0,00;0;0;0;0;1;55;2.883;0;11;13;21;30;36;39;3;6;11;17;39;44;
713;713;2008-11-28;SÃO PAULO, SP;4.500.000,00;0,00;0,00;0,00;0,00;0,00;3.697,26;67,45;0,00;0;0;0;0;0;43;2.357;0;6;11;14;22;26;35;1;9;13;16;26;34;
714;714;2008-12-02;SÃO PAULO, SP;5.000.000,00;0,00;0,00;0,00;0,00;0,00;8.049,53;85,27;0,00;0;0;0;0;0;20;1.888;0;1;20;28;34;40;45;1;6;36;37;42;48;
715;715;2008-12-05;SÃO PAULO, SP;5.700.000,00;0,00;0,00;0,00;0,00;0,00;2.832,60;58,48;0,00;0;0;0;0;0;64;3.100;0;5;14;21;30;32;41;2;14;18;24;36;47;
716;716;2008-12-09;SÃO PAULO, SP;400.000,00;5.594.052,57;0,00;0,00;0,00;0,00;6.213,11;97,25;0,00;1;0;0;0;0;27;1.725;0;11;14;18;19;31;32;1;14;21;33;39;50;
717;717;2008-12-12;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;80.952,60;2.917,21;61,23;0,00;0;0;0;0;2;37;1.763;0;5;13;21;37;41;45;6;8;16;24;33;49;
718;718;2008-12-16;SÃO PAULO, SP;900.000,00;0,00;0,00;0,00;0,00;0,00;4.930,97;63,82;0,00;0;0;0;0;0;19;1.468;0;2;27;30;43;46;47;13;23;27;29;43;44;
719;719;2008-12-19;SÃO PAULO, SP;300.000,00;868.900,47;0,00;0,00;0,00;0,00;5.533,29;95,88;0,00;1;0;0;0;0;21;1.212;0;6;23;24;25;26;50;25;27;28;31;35;45;
720;720;2008-12-23;SÃO PAULO, SP;250.000,00;309.521,72;0,00;0,00;0,00;0,00;3.467,26;61,20;0,00;1;0;0;0;0;26;1.473;0;5;8;13;18;33;36;3;6;8;23;39;46;
721;721;2008-12-26;SÃO PAULO, SP;500.000,00;0,00;0,00;0,00;0,00;0,00;12.427,81;76,64;0,00;0;0;0;0;0;6;973;0;4;9;16;20;25;34;6;7;15;16;38;44;
722;722;2008-12-30;SÃO PAULO, SP;250.000,00;166.494,32;0,00;0,00;0,00;0,00;4.462,20;74,43;0,00;3;0;0;0;0;21;1.259;0;6;24;25;27;32;39;4;5;23;30;33;50;
723;723;2009-01-02;SÃO PAULO, SP;500.000,00;0,00;0,00;0,00;0,00;0,00;3.879,58;94,24;0,00;0;0;0;0;0;18;741;0;3;8;11;28;31;50;13;15;20;21;28;41;
724;724;2009-01-06;SÃO PAULO, SP;800.000,00;0,00;0,00;0,00;0,00;0,00;4.263,98;107,37;0,00;0;0;0;0;0;21;834;0;3;6;9;14;26;44;20;21;25;27;38;39;
725;725;2009-01-09;SÃO PAULO, SP;1.100.000,00;0,00;0,00;0,00;0,00;0,00;5.355,47;72,13;0,00;0;0;0;0;0;20;1.485;0;10;18;19;28;40;50;6;19;29;42;44;45;
726;726;2009-01-13;SÃO PAULO, SP;1.300.000,00;0,00;0,00;0,00;0,00;144.514,79;2.833,63;58,15;0,00;0;0;0;0;1;34;1.657;0;17;24;39;42;44;45;10;12;25;36;49;50;
727;727;2009-01-16;SÃO PAULO, SP;1.600.000,00;0,00;0,00;0,00;0,00;0,00;6.390,00;79,58;0,00;0;0;0;0;0;17;1.365;0;2;9;20;24;40;47;17;20;32;45;48;49;
728;728;2009-01-20;SÃO PAULO, SP;1.900.000,00;0,00;0,00;0,00;0,00;0,00;2.270,52;63,35;0,00;0;0;0;0;0;43;1.541;0;1;2;6;12;42;44;2;11;18;25;27;39;
729;729;2009-01-23;SÃO PAULO, SP;2.200.000,00;0,00;0,00;0,00;0,00;0,00;9.861,60;93,10;0,00;0;0;0;0;0;13;1.377;0;1;3;4;6;16;30;4;9;20;39;41;43;
730;730;2009-01-27;SÃO PAULO, SP;2.700.000,00;0,00;0,00;0,00;0,00;0,00;5.591,98;83,47;0,00;0;0;0;0;0;21;1.407;0;3;4;31;33;44;48;2;17;30;31;43;46;
731;731;2009-01-30;SÃO PAULO, SP;3.000.000,00;0,00;0,00;0,00;0,00;0,00;3.197,93;67,09;0,00;0;0;0;0;0;42;2.002;0;11;17;27;35;44;46;4;9;10;20;21;46;
732;732;2009-02-03;SÃO PAULO, SP;3.500.000,00;0,00;0,00;0,00;0,00;0,00;4.038,75;66,41;0,00;0;0;0;0;0;32;1.946;0;13;32;33;40;44;50;1;19;27;37;47;50;
733;733;2009-02-06;SÃO PAULO, SP;350.000,00;3.456.267,02;0,00;0,00;0,00;0,00;11.558,60;101,46;0,00;1;0;0;0;0;13;1.481;0;4;12;18;23;27;50;4;28;30;40;43;49;
734;734;2009-02-10;SÃO PAULO, SP;700.000,00;0,00;0,00;0,00;0,00;0,00;4.550,24;77,89;0,00;0;0;0;0;0;19;1.110;0;4;8;15;19;21;49;1;8;11;24;31;45;
735;735;2009-02-13;SÃO PAULO, SP;250.000,00;644.087,31;0,00;0,00;0,00;0,00;4.828,21;79,45;0,00;1;0;0;0;0;22;1.337;0;7;10;29;36;39;49;5;35;43;44;48;49;
736;736;2009-02-17;SÃO PAULO, SP;550.000,00;0,00;0,00;0,00;0,00;0,00;3.208,36;64,76;0,00;0;0;0;0;0;24;1.189;0;18;20;23;40;41;47;2;15;17;25;29;42;
737;737;2009-02-20;SÃO PAULO, SP;250.000,00;531.459,86;0,00;0,00;0,00;0,00;3.035,00;54,14;0,00;1;0;0;0;0;31;1.738;0;11;14;22;27;39;50;3;33;41;44;48;49;
738;738;2009-02-27;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;0,00;10.774,21;103,27;0,00;0;0;0;0;0;9;939;0;3;6;7;13;21;35;20;21;31;37;41;50;
739;739;2009-03-03;SÃO PAULO, SP;120.000,00;559.352,86;0,00;0,00;0,00;63.660,87;2.122,03;50,35;0,00;1;0;0;0;2;40;1.686;0;8;9;10;17;35;39;4;8;10;12;28;31;
740;740;2009-03-06;SÃO PAULO, SP;400.000,00;0,00;0,00;0,00;0,00;0,00;3.131,41;61,94;0,00;0;0;0;0;0;27;1.365;0;7;20;22;42;45;50;5;14;26;29;36;44;
741;741;2009-03-10;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;0,00;6.020,60;94,64;0,00;0;0;0;0;0;13;827;0;13;18;20;33;39;45;8;18;22;29;33;39;
742;742;2009-03-13;SÃO PAULO, SP;1.000.000,00;0,00;0,00;0,00;0,00;0,00;7.209,91;81,08;0,00;0;0;0;0;0;14;1.245;0;11;16;18;25;47;50;4;21;25;37;40;45;
743;743;2009-03-17;SÃO PAULO, SP;1.200.000,00;0,00;0,00;0,00;0,00;0,00;6.682,44;75,27;0,00;0;0;0;0;0;14;1.243;0;5;12;19;30;34;47;1;11;31;35;45;50;
744;744;2009-03-20;SÃO PAULO, SP;120.000,00;1.235.087,42;0,00;0,00;0,00;163.161,64;4.350,98;93,29;0,00;1;0;0;0;1;25;1.166;0;17;20;22;23;34;50;2;6;18;30;37;40;
745;745;2009-03-24;SÃO PAULO, SP;400.000,00;0,00;0,00;0,00;0,00;0,00;3.266,24;59,11;0,00;0;0;0;0;0;23;1.271;0;1;6;19;25;35;40;2;6;10;22;23;29;
746;746;2009-03-27;SÃO PAULO, SP;600.000,00;0,00;0,00;0,00;0,00;0,00;4.917,78;76,51;0,00;0;0;0;0;0;18;1.157;0;5;21;22;28;42;45;1;8;17;37;44;47;
747;747;2009-03-31;SÃO PAULO, SP;900.000,00;0,00;0,00;0,00;0,00;0,00;2.508,43;55,48;0,00;0;0;0;0;0;33;1.492;0;2;14;17;24;40;50;8;10;24;26;45;50;
748;748;2009-04-03;SÃO PAULO, SP;1.200.000,00;0,00;0,00;0,00;0,00;0,00;3.218,48;61,82;0,00;0;0;0;0;0;32;1.666;0;6;14;21;40;42;46;3;9;23;29;32;50;
749;749;2009-04-07;SÃO PAULO, SP;1.500.000,00;0,00;0,00;0,00;0,00;0,00;4.457,90;77,90;0,00;0;0;0;0;0;22;1.259;0;8;9;22;40;46;50;10;14;17;21;33;43;
